,Source,Target,BLEU,"Data Size (parallel sentences, K)",dataset size (sent),Source lang word TTR,Source lang subword TTR,Target lang word TTR,Target lang subword TTR,Source lang vocab size,Source lang subword vocab size,Target lang vocab size,Target lang subword vocab size,Source lang Average Sent. Length,Target lang average sent. length,Source lang word Count,Source lang subword Count,Target lang word Count,Target lang subword Count,geographic,genetic,inventory,syntactic,phonological,featural
200,deu,por,14.2,294.0,294059.0,0.06769857907433811,0.0008092573485026949,0.046629428450075686,0.0007829618021408072,359817.0,7458.0,270290.0,7260.0,18.074556466559432,19.712214215514575,5314986.0,9215857.0,5796554.0,9272483.0,,,,,,
201,deu,pt-br,15.2,,,,,,,,,,,,,,,,,,,,,,
202,deu,ron,8.7,129.0,129013.0,0.09054267153773402,0.0015798165638477918,0.07475457079909367,0.001495746983165998,197973.0,6019.0,178983.0,6006.0,16.948028493252618,18.558401091362885,2186516.0,3809936.0,2394275.0,4015385.0,,,,,,
203,deu,rus,9.2,368.0,368206.0,0.06470127217726894,0.000683848476709256,0.07694770808406748,0.0006352792239286126,403284.0,7302.0,457065.0,7470.0,16.92806472463784,16.132118976877074,6233015.0,10677804.0,5939943.0,11758609.0,,,,,,
204,deu,slk,5.4,94.0,94959.0,0.10121472561225298,0.002280346575468309,0.12556437244123145,0.0020938180134290347,149540.0,5883.0,171814.0,5652.0,15.558851714950665,14.409734727619288,1477453.0,2579871.0,1368334.0,2699375.0,,,,,,
205,deu,slv,8.6,106.0,106666.0,0.094249510501958,0.0019776754696898893,0.10859441993879128,0.0019134037951873786,169438.0,6154.0,188310.0,6027.0,16.854105338158366,16.25697973112332,1797760.0,3111734.0,1734067.0,3149884.0,,,,,,
206,deu,srp,1.5,81.0,81479.0,0.10891310725674357,0.00261609849893818,0.14542314033725606,0.0025016442419578595,136243.0,5732.0,166700.0,5637.0,15.352827108825586,14.068778458253044,1250933.0,2191049.0,1146310.0,2253318.0,,,,,,
207,deu,swe,12.7,216.0,216938.0,0.0781059065600573,0.001040637668382235,0.08397261357024101,0.0010539906167826294,290505.0,6780.0,295264.0,6517.0,17.144866275156957,16.208289926154016,3719373.0,6515236.0,3516194.0,6183167.0,,,,,,
208,deu,tur,3.6,127.0,127051.0,0.0956992820409574,0.0017388900740363405,0.11267294399328412,0.0018986011292047532,186331.0,5926.0,197836.0,5988.0,15.32492463656327,13.819985675043881,1947047.0,3407921.0,1755843.0,3153901.0,,,,,,
209,deu,ukr,7.8,165.0,165076.0,0.08777240243705421,0.0013545448030513089,0.10631972474275284,0.0012681712745360744,228729.0,6124.0,257061.0,6091.0,15.786262085342507,14.64665366255543,2605933.0,4521076.0,2417811.0,4802979.0,,,,,,
210,deu,vie,11.3,107.0,107022.0,0.0984163645433434,0.0018609942494439823,0.039438134496942105,0.0017727562556923524,179732.0,5997.0,96735.0,6503.0,17.064164377417733,22.918923212049854,1826241.0,3222471.0,2452829.0,3668299.0,,,,,,
211,deu,cmn,9.2,134.0,,,,,,,,,,,,,,,,,,,,,
212,deu,zh-tw,4.3,,,,,,,,,,,,,,,,,,,,,,
213,ell,ara,4.1,66.0,66961.0,0.08910114297944899,0.0021292261768399343,0.11059363849059563,0.002462707602498534,124471.0,5558.0,135379.0,5513.0,20.86233777870701,18.280969519571094,1396963.0,2610338.0,1224112.0,2238593.0,,,,,,
214,ell,bul,11.2,62.0,62768.0,0.09585735604928748,0.002499018161506281,0.10584785639130273,0.0027939150983708537,112343.0,5485.0,118908.0,5623.0,18.671632041804738,17.89743181238848,1171981.0,2194862.0,1123386.0,2012588.0,,,,,,
215,ell,bos,4.8,33.0,33881.0,0.1300998791561423,0.00435459299213571,0.18128937810392112,0.00506644841965782,79991.0,5288.0,97831.0,5330.0,18.147132611198014,15.927510994362624,614843.0,1214350.0,539640.0,1052019.0,,,,,,
216,ell,ces,5.5,70.0,70243.0,0.09848487265719227,0.002324938747775224,0.12908900669118725,0.0026800634857331225,123463.0,5536.0,137439.0,5618.0,17.846959839414602,15.157154449553692,1253624.0,2381138.0,1064684.0,2096219.0,,,,,,
217,ell,dan,9.7,54.0,54103.0,0.10386399405265613,0.0027522459365425557,0.10896199909652823,0.0035908908090545133,105063.0,5406.0,98895.0,5464.0,18.696634197733953,16.775594699000056,1011544.0,1964214.0,907610.0,1521628.0,,,,,,
218,ell,deu,6.7,95.0,95377.0,0.0952829714182852,0.0019529293066821672,0.10087649102981433,0.0023503604515682265,143976.0,5594.0,144969.0,5848.0,15.842771318032652,15.067511035155224,1511036.0,2864415.0,1437094.0,2488129.0,,,,,,
219,ell,eng,27.9,620.0,620801.0,0.03544120682774954,0.0003286501787794618,0.02480934059356239,0.00040323763413215914,551975.0,9171.0,373436.0,9348.0,25.087564291938964,24.246471896791395,15574385.0,27905051.0,15052234.0,23182360.0,,,,,,
220,ell,epo,8.0,39.0,39852.0,0.1192969174758952,0.003912439935931661,0.12923917094286616,0.004621779749617993,86671.0,5496.0,90165.0,5517.0,18.23032721067952,17.506273210880256,726515.0,1404750.0,697660.0,1193696.0,,,,,,
221,ell,spa,18.8,145.0,145191.0,0.0708810461367156,0.001085305129281357,0.04982179534134784,0.0012811312901407266,209813.0,5942.0,154396.0,6079.0,20.38743448285362,21.34405713852787,2960072.0,5474958.0,3098965.0,4745025.0,,,,,,
222,ell,fra,16.3,137.0,137073.0,0.07135627821800422,0.0011608794018798455,0.047835944975647485,0.0012350507315803984,198254.0,5929.0,140026.0,6038.0,20.269257986620268,21.355139232379827,2778368.0,5107335.0,2927213.0,4888868.0,,,,,,
223,ell,fr-ca,13.5,,,,,,,,,,,,,,,,,,,,,,
224,ell,glg,10.1,48.0,48685.0,0.10680596461598664,0.0029471342459180413,0.08629888247845048,0.0033955212259008933,103715.0,5405.0,83077.0,5451.0,19.94577385231591,19.773359350929447,971060.0,1833985.0,962666.0,1605350.0,,,,,,
225,ell,heb,4.0,56.0,56833.0,0.10254183131093504,0.00279422366785732,0.12886891927608607,0.0033628663155033465,107668.0,5461.0,111168.0,5493.0,18.47502331391973,15.178575827424206,1049991.0,1954389.0,862644.0,1633428.0,,,,,,
226,ell,hrv,5.6,43.0,43565.0,0.11265223517478787,0.0032869524741400004,0.15040899173910988,0.00373049017112071,94182.0,5395.0,111338.0,5466.0,19.190680592218524,16.991506943647426,836042.0,1641338.0,740235.0,1465223.0,,,,,,
227,ell,hun,5.3,64.0,64636.0,0.10105975088255004,0.0024803286616258626,0.1561047987193003,0.0031325713477666933,117028.0,5488.0,151924.0,5804.0,17.915836376013367,15.056903273717433,1158008.0,2212610.0,973218.0,1852791.0,,,,,,
228,ell,ind,13.1,73.0,73368.0,0.08480957270289356,0.0018534699348126754,0.06553483351510425,0.002576414672541562,137032.0,5721.0,93619.0,5797.0,22.022693817468106,19.470859230182093,1615761.0,3086643.0,1428538.0,2250026.0,,,,,,
