,Source,Target,BLEU,"Data Size (parallel sentences, K)",dataset size (sent),Source lang word TTR,Source lang subword TTR,Target lang word TTR,Target lang subword TTR,Source lang vocab size,Source lang subword vocab size,Target lang vocab size,Target lang subword vocab size,Source lang Average Sent. Length,Target lang average sent. length,Source lang word Count,Source lang subword Count,Target lang word Count,Target lang subword Count,geographic,genetic,inventory,syntactic,phonological,featural
0,ara,bul,4.9,54.0,54919.0,0.121615834275219,0.0032932295979085546,0.1044801751711998,0.003375775624637565,110182.0,5457.0,102207.0,5670.0,16.496731550101053,17.812469272929228,905984.0,1657036.0,978243.0,1679614.0,,,,,,
1,ara,bos,1.8,34.0,34137.0,0.1577768858265229,0.00518952602000774,0.17385073557401642,0.0051925755468354646,84907.0,5270.0,93168.0,5305.0,15.764302662799896,15.698743299059672,538146.0,1015507.0,535908.0,1021651.0,,,,,,
2,ara,ces,3.0,67.0,67131.0,0.12000979400255934,0.002782174917460127,0.1309478456592248,0.0026841250110347364,129886.0,5517.0,138522.0,5625.0,16.122134334361178,15.757861494689488,1082295.0,1982981.0,1057841.0,2095655.0,,,,,,
3,ara,dan,4.5,53.0,53021.0,0.12849604466761738,0.0034619926895774187,0.10894099858925811,0.003718952669031285,110650.0,5429.0,96837.0,5556.0,16.241036570415496,16.764942192716095,861116.0,1568172.0,888894.0,1493969.0,,,,,,
4,ara,deu,3.8,99.0,99258.0,0.11367755206302685,0.002061845072315104,0.09967565012178921,0.002079523326726662,169109.0,5616.0,157711.0,5864.0,14.987406556650345,15.940699993955148,1487620.0,2723774.0,1582242.0,2819877.0,,,,,,
5,ara,ell,6.7,66.0,66961.0,0.11059363849059563,0.002462707602498534,0.08910114297944899,0.0021292261768399343,135379.0,5513.0,124471.0,5558.0,18.280969519571094,20.86233777870701,1224112.0,2238593.0,1396963.0,2610338.0,,,,,,
6,ara,eng,20.3,999.0,999762.0,0.03489549267675994,0.00026634227323608315,0.02019373528026564,0.00034862700654224874,802682.0,10863.0,510280.0,13409.0,23.007930887551236,25.27523850676461,23002455.0,40785865.0,25269223.0,38462310.0,,,,,,
7,ara,epo,4.1,37.0,37130.0,0.14849079587397235,0.004801131240192045,0.13207255838083887,0.004847208713218397,89353.0,5351.0,85536.0,5442.0,16.20632911392405,17.442607056288715,601741.0,1114529.0,647644.0,1122708.0,,,,,,
8,ara,spa,13.2,174.0,174557.0,0.08022841708616413,0.0010278464702595616,0.0439661901045137,0.0011040638678617625,265310.0,6203.0,175522.0,6749.0,18.944717198393647,22.870489295760123,3306933.0,6034948.0,3992204.0,6112871.0,,,,,,
9,ara,fra,12.2,163.0,163549.0,0.08155894508585372,0.0012352236548176035,0.04245169643762208,0.001120953452663839,251924.0,6944.0,162491.0,7226.0,18.886437703685136,23.403799472940836,3088858.0,5621654.0,3827668.0,6446298.0,,,,,,
