,Source,Target,BLEU,"Data Size (parallel sentences, K)",dataset size (sent),Source lang word TTR,Source lang subword TTR,Target lang word TTR,Target lang subword TTR,Source lang vocab size,Source lang subword vocab size,Target lang vocab size,Target lang subword vocab size,Source lang Average Sent. Length,Target lang average sent. length,Source lang word Count,Source lang subword Count,Target lang word Count,Target lang subword Count,geographic,genetic,inventory,syntactic,phonological,featural
300,epo,fra,17.6,134.0,134088.0,0.0836638036021098,0.0014705365078099535,0.05101641914402325,0.0013841035653678418,216056.0,6271.0,149686.0,6675.0,19.25922528488754,21.881712010023264,2582431.0,4264430.0,2934075.0,4822616.0,,,,,,
301,epo,fr-ca,12.7,,,,,,,,,,,,,,,,,,,,,,
302,epo,glg,10.5,46.0,46309.0,0.1122448215876152,0.0035610691729294187,0.08594252466554278,0.0034374147466580693,104980.0,5516.0,83249.0,5544.0,20.196441296508237,20.91729469433588,935277.0,1548973.0,968659.0,1612840.0,,,,,,
303,epo,heb,1.9,39.0,39004.0,0.1295748648495922,0.00560788940566118,0.15503644390663554,0.00533851470478848,75669.0,5409.0,81998.0,5311.0,14.972284893857038,13.560019485181007,583979.0,964534.0,528895.0,994846.0,,,,,,
304,epo,hrv,3.0,29.0,29259.0,0.1484872783080279,0.006566176470588235,0.18458909263925505,0.006530871649907,68888.0,5358.0,76040.0,5323.0,15.856044294063365,14.079155131754332,463932.0,816000.0,411942.0,815052.0,,,,,,
305,epo,hun,4.8,57.0,57398.0,0.12647320342344948,0.003608795444000904,0.1734232164583157,0.0034375908421126486,112795.0,5577.0,141543.0,5487.0,15.537980417436149,14.219502421687169,891849.0,1545391.0,816171.0,1596176.0,,,,,,
306,epo,ind,9.2,46.0,46010.0,0.11890885707516838,0.003719212151115497,0.08683399404300078,0.003917070168440305,105402.0,5578.0,73642.0,5607.0,19.26559443599217,18.43247120191263,886410.0,1499780.0,848078.0,1431427.0,,,,,,
307,epo,ita,13.9,101.0,101947.0,0.0901776749013753,0.0017051441981806481,0.06242319795862768,0.0015552484478455475,191831.0,5987.0,141373.0,6032.0,20.866293270032468,22.21498425652545,2127256.0,3511140.0,2264751.0,3878480.0,,,,,,
308,epo,jpn,2.5,48.0,48733.0,0.12723821756492099,0.0051999120163310035,0.3730882862324008,0.0039901525350511885,80042.0,5390.0,91554.0,4757.0,12.908542466090742,5.035499558820511,629072.0,1036556.0,245395.0,1192185.0,,,,,,
309,epo,kor,4.8,26.0,26463.0,0.16385442224873614,0.008176037612239393,0.0467841097186096,0.002893027763585511,60838.0,5304.0,15828.0,2197.0,14.030646563125876,12.784642708687599,371293.0,648725.0,338320.0,759412.0,,,,,,
310,epo,mkd,6.2,30.0,30254.0,0.13695112911992885,0.006149141367817867,0.13469621969791734,0.006036311651179414,69287.0,5417.0,67838.0,5278.0,16.72258213789912,16.64695577444305,505925.0,880936.0,503637.0,874375.0,,,,,,
311,epo,nob,7.2,,,,,,,,,,,,,,,,,,,,,,
312,epo,nld,12.1,81.0,81182.0,0.10897006024486723,0.00252802705186588,0.09228535461374784,0.0025885603484737795,139584.0,5628.0,124259.0,5655.0,15.778608558547461,16.58575792663398,1280939.0,2226242.0,1346465.0,2184612.0,,,,,,
313,epo,pol,6.7,77.0,77317.0,0.1063753747281384,0.0026594161741779177,0.12880340913897145,0.002577596155199347,135727.0,5764.0,149223.0,5861.0,16.502515617522665,14.984194937723913,1275925.0,2167393.0,1158533.0,2273824.0,,,,,,
314,epo,por,12.4,91.0,91599.0,0.09455928847654786,0.0019864399578565974,0.06716212312978953,0.0018658841762255933,171554.0,6022.0,130911.0,5962.0,19.80641710062337,21.279479033613907,1814248.0,3031554.0,1949179.0,3195268.0,,,,,,
315,epo,pt-br,16.0,,,,,,,,,,,,,,,,,,,,,,
