,Source,Target,BLEU,"Data Size (parallel sentences, K)",dataset size (sent),Source lang word TTR,Source lang subword TTR,Target lang word TTR,Target lang subword TTR,Source lang vocab size,Source lang subword vocab size,Target lang vocab size,Target lang subword vocab size,Source lang Average Sent. Length,Target lang average sent. length,Source lang word Count,Source lang subword Count,Target lang word Count,Target lang subword Count,geographic,genetic,inventory,syntactic,phonological,featural
400,fra,cmn,11.1,157.0,,,,,,,,,,,,,,,,,,,,,
401,fra,zh-tw,6.6,,,,,,,,,,,,,,,,,,,,,,
402,fr-ca,ara,4.9,,,,,,,,,,,,,,,,,,,,,,
403,fr-ca,bul,12.5,,,,,,,,,,,,,,,,,,,,,,
404,fr-ca,bos,2.8,,,,,,,,,,,,,,,,,,,,,,
405,fr-ca,ces,7.8,,,,,,,,,,,,,,,,,,,,,,
406,fr-ca,dan,14.3,,,,,,,,,,,,,,,,,,,,,,
407,fr-ca,deu,12.9,,,,,,,,,,,,,,,,,,,,,,
408,fr-ca,ell,15.4,,,,,,,,,,,,,,,,,,,,,,
409,fr-ca,eng,27.8,,,,,,,,,,,,,,,,,,,,,,
410,fr-ca,epo,14.0,,,,,,,,,,,,,,,,,,,,,,
411,fr-ca,spa,23.7,,,,,,,,,,,,,,,,,,,,,,
412,fr-ca,glg,18.1,,,,,,,,,,,,,,,,,,,,,,
413,fr-ca,heb,6.8,,,,,,,,,,,,,,,,,,,,,,
414,fr-ca,hrv,6.8,,,,,,,,,,,,,,,,,,,,,,
415,fr-ca,hun,7.9,,,,,,,,,,,,,,,,,,,,,,
416,fr-ca,ind,13.7,,,,,,,,,,,,,,,,,,,,,,
417,fr-ca,ita,23.4,,,,,,,,,,,,,,,,,,,,,,
418,fr-ca,jpn,7.5,,,,,,,,,,,,,,,,,,,,,,
419,fr-ca,kor,8.8,,,,,,,,,,,,,,,,,,,,,,
420,fr-ca,mkd,10.3,,,,,,,,,,,,,,,,,,,,,,
421,fr-ca,nld,15.1,,,,,,,,,,,,,,,,,,,,,,
422,fr-ca,pol,7.2,,,,,,,,,,,,,,,,,,,,,,
423,fr-ca,por,18.6,,,,,,,,,,,,,,,,,,,,,,
424,fr-ca,pt-br,23.2,,,,,,,,,,,,,,,,,,,,,,
425,fr-ca,ron,15.3,,,,,,,,,,,,,,,,,,,,,,
426,fr-ca,rus,11.3,,,,,,,,,,,,,,,,,,,,,,
427,fr-ca,slk,6.1,,,,,,,,,,,,,,,,,,,,,,
428,fr-ca,slv,6.6,,,,,,,,,,,,,,,,,,,,,,
429,fr-ca,srp,3.3,,,,,,,,,,,,,,,,,,,,,,
430,fr-ca,swe,12.5,,,,,,,,,,,,,,,,,,,,,,
431,fr-ca,tur,5.0,,,,,,,,,,,,,,,,,,,,,,
432,fr-ca,ukr,9.7,,,,,,,,,,,,,,,,,,,,,,
433,fr-ca,vie,15.4,,,,,,,,,,,,,,,,,,,,,,
434,fr-ca,zh-tw,6.2,,,,,,,,,,,,,,,,,,,,,,
435,glg,ara,2.6,50.0,50528.0,0.08415856063012774,0.003411008203031539,0.13186919836041242,0.0033441909092254054,83447.0,5503.0,115495.0,5425.0,19.62367400253325,17.333557631412287,991545.0,1613306.0,875830.0,1622216.0,,,,,,
436,glg,bul,7.3,43.0,43273.0,0.0942197575313765,0.004188036479659258,0.12275039651284485,0.004107865215474575,74111.0,5467.0,91015.0,5507.0,18.17706190927368,17.13456427795623,786576.0,1305385.0,741464.0,1340599.0,,,,,,
437,glg,bos,4.7,32.0,32509.0,0.10919448355052247,0.005392835939046111,0.18038037363925907,0.005394241060674285,63524.0,5341.0,91069.0,5307.0,17.895075209941858,15.530222399950784,581751.0,990388.0,504872.0,983827.0,,,,,,
