,Source,Target,BLEU,"Data Size (parallel sentences, K)",dataset size (sent),Source lang word TTR,Source lang subword TTR,Target lang word TTR,Target lang subword TTR,Source lang vocab size,Source lang subword vocab size,Target lang vocab size,Target lang subword vocab size,Source lang Average Sent. Length,Target lang average sent. length,Source lang word Count,Source lang subword Count,Target lang word Count,Target lang subword Count,geographic,genetic,inventory,syntactic,phonological,featural
500,heb,srp,1.0,45.0,45889.0,0.14624827853983774,0.004224492608122207,0.16493720080338373,0.004198859081456007,96425.0,5365.0,112424.0,5421.0,14.367800562226241,14.853603260040533,659324.0,1269975.0,681617.0,1291065.0,,,,,,
501,heb,swe,5.2,67.0,67852.0,0.12370238047448917,0.0029364445815593205,0.11167012824795572,0.003090368602167329,123262.0,5492.0,115329.0,5541.0,14.685491953074338,15.220848316925073,996440.0,1870289.0,1032765.0,1792990.0,,,,,,
502,heb,tur,1.8,54.0,54841.0,0.13702082180484576,0.003935246318482125,0.1437732992249079,0.004257044080052929,101026.0,5409.0,105211.0,5482.0,13.444393792965114,13.343739173246293,737304.0,1374501.0,731784.0,1287748.0,,,,,,
503,heb,ukr,5.1,73.0,73310.0,0.12249530698045424,0.0030001807337791428,0.13254644973677032,0.002780253725945148,122547.0,5561.0,137013.0,5627.0,13.646460237348249,14.100368299004225,1000422.0,1853555.0,1033698.0,2023916.0,,,,,,
504,heb,vie,10.7,66.0,66128.0,0.11882821994717488,0.002675451655716496,0.03391161714329585,0.0023404529343675953,130334.0,5598.0,55655.0,5797.0,16.58642330026615,24.818201064601983,1096827.0,2092357.0,1641178.0,2476871.0,,,,,,
505,heb,cmn,6.9,62.0,,,,,,,,,,,,,,,,,,,,,
506,heb,zh-tw,4.6,,,,,,,,,,,,,,,,,,,,,,
507,hin,eng,17.8,231.0,231459.0,0.02276107974395669,0.0007091023367731959,0.03910871960851338,0.0010155883605525566,175156.0,6864.0,186034.0,7445.0,33.247430430443394,20.55155340686688,7695417.0,9679844.0,4756842.0,7330726.0,,,,,,
508,hrv,ara,1.6,38.0,38853.0,0.1590715086600028,0.004206428001323755,0.14434638154108428,0.004504770252503118,103424.0,5402.0,92800.0,5345.0,16.734177540987826,16.5469333127429,650173.0,1284225.0,642898.0,1186520.0,,,,,,
509,hrv,bul,8.7,47.0,47877.0,0.15179385266583992,0.003603397998376063,0.1244434014416825,0.0036176556377223424,116406.0,5463.0,102874.0,5482.0,16.017482298389627,17.26659982872778,766869.0,1516069.0,826673.0,1515346.0,,,,,,
510,hrv,bos,29.9,164.0,164225.0,0.08246126953591427,0.0009426389154917756,0.0846180768095173,0.0009590047473128256,286253.0,6132.0,293758.0,6211.0,21.137847465367635,21.139138377226367,3471363.0,6505142.0,3471575.0,6476506.0,,,,,,
