,Source,Target,BLEU,"Data Size (parallel sentences, K)",dataset size (sent),Source lang word TTR,Source lang subword TTR,Target lang word TTR,Target lang subword TTR,Source lang vocab size,Source lang subword vocab size,Target lang vocab size,Target lang subword vocab size,Source lang Average Sent. Length,Target lang average sent. length,Source lang word Count,Source lang subword Count,Target lang word Count,Target lang subword Count,geographic,genetic,inventory,syntactic,phonological,featural
900,pt-br,epo,16.0,,,,,,,,,,,,,,,,,,,,,,
901,pt-br,spa,31.0,,,,,,,,,,,,,,,,,,,,,,
902,pt-br,fra,26.6,,,,,,,,,,,,,,,,,,,,,,
903,pt-br,fr-ca,20.3,,,,,,,,,,,,,,,,,,,,,,
904,pt-br,glg,23.0,,,,,,,,,,,,,,,,,,,,,,
905,pt-br,heb,8.7,,,,,,,,,,,,,,,,,,,,,,
906,pt-br,hrv,9.8,,,,,,,,,,,,,,,,,,,,,,
907,pt-br,hun,8.1,,,,,,,,,,,,,,,,,,,,,,
908,pt-br,ind,18.6,,,,,,,,,,,,,,,,,,,,,,
909,pt-br,ita,24.8,,,,,,,,,,,,,,,,,,,,,,
910,pt-br,jpn,7.8,,,,,,,,,,,,,,,,,,,,,,
911,pt-br,kor,10.7,,,,,,,,,,,,,,,,,,,,,,
912,pt-br,mkd,12.5,,,,,,,,,,,,,,,,,,,,,,
913,pt-br,nld,14.8,,,,,,,,,,,,,,,,,,,,,,
914,pt-br,pol,8.5,,,,,,,,,,,,,,,,,,,,,,
915,pt-br,ron,15.1,,,,,,,,,,,,,,,,,,,,,,
916,pt-br,rus,11.8,,,,,,,,,,,,,,,,,,,,,,
917,pt-br,slk,6.4,,,,,,,,,,,,,,,,,,,,,,
918,pt-br,slv,8.9,,,,,,,,,,,,,,,,,,,,,,
919,pt-br,srp,2.8,,,,,,,,,,,,,,,,,,,,,,
920,pt-br,swe,14.6,,,,,,,,,,,,,,,,,,,,,,
921,pt-br,tur,5.3,,,,,,,,,,,,,,,,,,,,,,
922,pt-br,ukr,10.8,,,,,,,,,,,,,,,,,,,,,,
923,pt-br,vie,18.8,,,,,,,,,,,,,,,,,,,,,,
924,pt-br,cmn,13.2,,,,,,,,,,,,,,,,,,,,,,
925,pt-br,zh-tw,6.7,,,,,,,,,,,,,,,,,,,,,,
926,ron,ara,3.2,71.0,71258.0,0.0762866874374266,0.0022314969948662136,0.10704367285512592,0.002251821972655699,119782.0,5815.0,144888.0,5587.0,22.034803109826264,18.994933902158355,1570156.0,2605874.0,1353541.0,2481102.0,,,,,,
927,ron,bul,9.7,69.0,69902.0,0.0817946876105487,0.002422324333228096,0.096564485591917,0.0024340218272113482,113528.0,5647.0,126080.0,5701.0,19.85584103459129,18.67837830105004,1387963.0,2331232.0,1305656.0,2342214.0,,,,,,
928,ron,bos,3.7,37.0,37605.0,0.1157267181128626,0.004510529203401101,0.16367197214623228,0.004538028216953999,80771.0,5352.0,100035.0,5333.0,18.55992554181625,16.252945087089483,697946.0,1186557.0,611192.0,1175180.0,,,,,,
929,ron,ces,5.1,82.0,82650.0,0.08182172006232465,0.002123242042931162,0.1231007815488878,0.0021730328905683514,126977.0,5737.0,162171.0,5700.0,18.776454930429523,15.939310344827586,1551874.0,2702000.0,1317384.0,2623062.0,,,,,,
930,ron,dan,9.4,70.0,70268.0,0.07922991996537848,0.0023640365872545747,0.0972496847157416,0.0026378076720996397,114606.0,5663.0,123843.0,5638.0,20.585458530198668,18.12281550634713,1446499.0,2395479.0,1273454.0,2137381.0,,,,,,
931,ron,deu,7.5,129.0,129013.0,0.07475457079909367,0.001495746983165998,0.09054267153773402,0.0015798165638477918,178983.0,6006.0,197973.0,6019.0,18.558401091362885,16.948028493252618,2394275.0,4015385.0,2186516.0,3809936.0,,,,,,
932,ron,ell,10.4,78.0,78731.0,0.0732502760190505,0.0020153045285955275,0.08319069990480554,0.0017667454752393074,123734.0,5677.0,140174.0,5686.0,21.455271748104305,21.401633409965577,1689195.0,2816944.0,1684972.0,3218347.0,,,,,,
933,ron,eng,25.0,631.0,631485.0,0.02988762649779599,0.00035033958945356535,0.024641562029927715,0.00039295917622047616,476586.0,9213.0,377528.0,9356.0,25.251478657450296,24.261513733501197,15945930.0,26297342.0,15320782.0,23809089.0,,,,,,
934,ron,epo,6.7,43.0,43594.0,0.11052240684793553,0.004052418528959411,0.12562878797221616,0.004393366724724807,87799.0,5441.0,91681.0,5519.0,18.222691196036152,16.740308299307245,794400.0,1342655.0,729777.0,1256212.0,,,,,,
935,ron,spa,18.8,183.0,183489.0,0.05726746207567976,0.0009671481329417812,0.04539134336119697,0.001023317817622639,230584.0,6485.0,190811.0,6660.0,21.943767746295414,22.909749358272162,4026440.0,6705281.0,4203687.0,6508242.0,,,,,,
936,ron,fra,19.3,206.0,206443.0,0.05364882322826705,0.0008560168687285825,0.04031759255496403,0.0007968066784226589,247628.0,6573.0,198419.0,6589.0,22.358331355386234,23.83902578435694,4615721.0,7678587.0,4921400.0,8269258.0,,,,,,
937,ron,fr-ca,14.6,,,,,,,,,,,,,,,,,,,,,,
938,ron,glg,10.0,56.0,56079.0,0.0945481932866606,0.002809705872134213,0.081067242453644,0.002982570553174552,110472.0,5580.0,93412.0,5575.0,20.835250271937802,20.547406337488187,1168420.0,1985973.0,1152278.0,1869193.0,,,,,,
939,ron,heb,4.0,67.0,67831.0,0.0829972738768306,0.0024330387116989005,0.11799127413910915,0.002530117791090029,112434.0,5653.0,131407.0,5551.0,19.971266824903072,16.418761333313675,1354671.0,2323432.0,1113701.0,2193969.0,,,,,,
940,ron,hrv,5.7,51.0,51221.0,0.09585135257738196,0.003075032818660505,0.1420457692295162,0.003008075665474336,101423.0,5486.0,130801.0,5483.0,20.658089455496768,17.977723980398665,1058128.0,1784046.0,920837.0,1822760.0,,,,,,
941,ron,hun,5.9,87.0,87958.0,0.07940817674603858,0.0018633230675186687,0.13947218748648318,0.0019254340069097954,145940.0,5755.0,216042.0,6015.0,20.89458605243412,17.610643716319153,1837846.0,3088568.0,1548997.0,3123971.0,,,,,,
942,ron,ind,11.0,94.0,94439.0,0.07113533695386663,0.0015634631886541428,0.061514223513848526,0.0019958611899719056,156383.0,5978.0,118111.0,6079.0,23.278380753714035,20.331219093806585,2198387.0,3823563.0,1920060.0,3045803.0,,,,,,
943,ron,ita,15.5,161.0,161759.0,0.0589054655856997,0.0010828005678226902,0.05003341934573485,0.0010315927031496622,212800.0,6479.0,185795.0,6571.0,22.333026292200127,22.956484646912998,3612568.0,5983558.0,3713418.0,6369762.0,,,,,,
944,ron,jpn,4.3,79.0,79395.0,0.07907829099478852,0.002484092509199113,0.3568515723002998,0.002139335641028984,106369.0,5610.0,167838.0,5087.0,16.941998866427358,5.9239246803954915,1345110.0,2258370.0,470330.0,2377841.0,,,,,,
945,ron,kor,6.4,47.0,47054.0,0.10352407452213888,0.00393513792169691,0.04383663723947046,0.00166356148492651,85573.0,5435.0,28825.0,2501.0,17.567050622688825,13.974476133803716,826600.0,1381146.0,657555.0,1503401.0,,,,,,
946,ron,mkd,7.3,56.0,56342.0,0.08253921119813254,0.0026495298796386526,0.09939905165606065,0.0029153536695658766,100066.0,5533.0,112276.0,5538.0,21.51760675872351,20.04806361151539,1212345.0,2088295.0,1129548.0,1899598.0,,,,,,
947,ron,nob,8.0,,,,,,,,,,,,,,,,,,,,,,
948,ron,nld,8.1,96.0,96776.0,0.0806789316254274,0.001992197856304208,0.08051457742866439,0.0020691266525030023,140607.0,5786.0,133886.0,5712.0,18.00856617343143,17.18276225510457,1742797.0,2904330.0,1662879.0,2760585.0,,,,,,
949,ron,pol,5.2,97.0,97037.0,0.08046454910999556,0.0019315413161965333,0.11811553932465332,0.0019519351133122577,144180.0,5819.0,178534.0,5796.0,18.465585292208125,15.576738769747625,1791845.0,3012620.0,1511520.0,2969361.0,,,,,,
950,ron,por,15.4,177.0,177269.0,0.05365182600479526,0.0009570535884923996,0.045620081038791185,0.0009779072360892923,219183.0,6470.0,187527.0,6454.0,23.04568198613407,23.18862294027721,4085285.0,6760332.0,4110624.0,6599808.0,,,,,,
951,ron,pt-br,17.7,,,,,,,,,,,,,,,,,,,,,,
952,ron,rus,8.0,136.0,136407.0,0.06504694753935511,0.0013259229292683756,0.10180244372537924,0.0012872339563704865,177451.0,6011.0,237313.0,6038.0,19.999303554802907,17.08939423929857,2728045.0,4533446.0,2331113.0,4690678.0,,,,,,
953,ron,slk,3.6,42.0,42561.0,0.1052520777769885,0.0041708177842319435,0.1585181785808474,0.004032198146095299,81493.0,5434.0,106389.0,5427.0,18.191889288315593,15.769060877329009,774265.0,1302862.0,671147.0,1345916.0,,,,,,
954,ron,slv,5.0,49.0,49716.0,0.0981795718150662,0.0033152631103999576,0.1368997249841337,0.0035048176941808204,96312.0,5474.0,119071.0,5514.0,19.73163569072331,17.494730066779304,980978.0,1651151.0,869768.0,1573263.0,,,,,,
955,ron,srp,1.9,58.0,58682.0,0.08859490443083495,0.002775414859717155,0.14489896079658024,0.002728553719595189,105690.0,5589.0,152637.0,5571.0,20.329198050509525,17.951041205139564,1192958.0,2013753.0,1053403.0,2041741.0,,,,,,
956,ron,swe,7.0,75.0,75782.0,0.0885043882928817,0.0022228310537276775,0.10782861086303484,0.002457334362723711,132062.0,5801.0,138125.0,5621.0,19.69005832519596,16.90332796706342,1492152.0,2609735.0,1280968.0,2287438.0,,,,,,
957,ron,tur,3.3,72.0,72180.0,0.0849935009248544,0.0024761177185821377,0.12248881300810198,0.0027798169073782546,116850.0,5698.0,141765.0,5896.0,19.046979772790245,16.034510944860074,1374811.0,2301183.0,1157371.0,2121003.0,,,,,,
958,ron,ukr,6.6,82.0,82153.0,0.07979664813113241,0.002122763416495874,0.12494546348812938,0.00205322379923169,125837.0,5651.0,168678.0,5697.0,19.19553759448833,16.432911762199794,1576971.0,2662096.0,1350013.0,2774661.0,,,,,,
959,ron,vie,12.7,96.0,96125.0,0.06824637051971656,0.0016288950268882859,0.030310829860849164,0.001549377717738941,148396.0,5869.0,81964.0,6213.0,22.620712613784136,28.13124577373212,2174416.0,3603056.0,2704116.0,4009997.0,,,,,,
960,ron,cmn,7.8,74.0,,,,,,,,,,,,,,,,,,,,,
961,ron,zh-tw,4.9,,,,,,,,,,,,,,,,,,,,,,
962,rus,ara,3.3,125.0,10220.0,0.3121451157730101,0.020427012114669546,0.2573351100369963,0.022657410898445297,36722.0,5109.0,31092.0,5108.0,11.511154598825831,11.822211350293543,117644.0,250110.0,120823.0,225445.0,,,,,,
963,rus,bul,12.6,270.0,270073.0,0.07626516219340301,0.0007079097902597937,0.056122248026146994,0.0007620305382280641,375285.0,6940.0,304928.0,7058.0,18.220229345399208,20.117827402220886,4920792.0,9803509.0,5433282.0,9262096.0,,,,,,
964,rus,bos,4.2,59.0,59540.0,0.15999070855887526,0.0033657289065013576,0.15489242997345218,0.0035232553129541156,129488.0,5513.0,125266.0,5397.0,13.593332213637892,13.582952636882768,809347.0,1637981.0,808729.0,1531822.0,,,,,,
965,rus,ces,7.7,186.0,186997.0,0.09918164811288306,0.0011390674878622015,0.09373681085605144,0.0011278906666451589,283746.0,6491.0,262075.0,6153.0,15.299026187585895,14.9513628560886,2860872.0,5698521.0,2795860.0,5455316.0,,,,,,
966,rus,dan,8.5,109.0,109086.0,0.11430733830906405,0.001817185293630625,0.08953087060085722,0.00205944098038224,187582.0,5948.0,151212.0,5782.0,15.04347028949636,15.482619217864805,1641032.0,3273194.0,1688937.0,2807558.0,,,,,,
967,rus,deu,8.8,368.0,368206.0,0.07694770808406748,0.0006352792239286126,0.06470127217726894,0.000683848476709256,457065.0,7470.0,403284.0,7302.0,16.132118976877074,16.92806472463784,5939943.0,11758609.0,6233015.0,10677804.0,,,,,,
968,rus,ell,8.3,114.0,114815.0,0.1091036092487504,0.001569315559353368,0.07958861513225073,0.0014458404704100565,202585.0,5774.0,168748.0,5663.0,16.17221617384488,18.466689892435657,1856813.0,3679311.0,2120253.0,3916753.0,,,,,,
