,Source,Target,BLEU,"Data Size (parallel sentences, K)",dataset size (sent),Source lang word TTR,Source lang subword TTR,Target lang word TTR,Target lang subword TTR,Source lang vocab size,Source lang subword vocab size,Target lang vocab size,Target lang subword vocab size,Source lang Average Sent. Length,Target lang average sent. length,Source lang word Count,Source lang subword Count,Target lang word Count,Target lang subword Count,geographic,genetic,inventory,syntactic,phonological,featural
1000,slk,bos,2.7,25.0,25108.0,0.20024211142446652,0.006912288206203477,0.2047592575601384,0.00702303967937369,75263.0,5268.0,75876.0,5264.0,14.969730763103394,14.758722319579418,375860.0,762121.0,370562.0,749533.0,,,,,,
1001,slk,ces,27.0,474.0,474501.0,0.058008070477321476,0.00044708667386585214,0.054713726685513414,0.00044069123843724505,545718.0,8135.0,514098.0,8176.0,19.826348100425502,19.802156370587202,9407622.0,18195577.0,9396143.0,18552672.0,,,,,,
1002,slk,dan,4.3,39.0,39731.0,0.16347812129677378,0.004598572714447462,0.12687297170466036,0.005085480357403093,95739.0,5349.0,76782.0,5374.0,14.740077017945685,15.232136115375905,585638.0,1163187.0,605188.0,1056734.0,,,,,,
1003,slk,deu,5.7,94.0,94959.0,0.12556437244123145,0.0020938180134290347,0.10121472561225298,0.002280346575468309,171814.0,5652.0,149540.0,5883.0,14.409734727619288,15.558851714950665,1368334.0,2699375.0,1477453.0,2579871.0,,,,,,
1004,slk,ell,3.2,35.0,35679.0,0.1704382059333552,0.0050055517663295974,0.12734340149546536,0.004514101346986707,90916.0,5306.0,76791.0,5297.0,14.950671263208045,16.901342526416098,533425.0,1060023.0,603023.0,1173434.0,,,,,,
1005,slk,eng,16.9,178.0,178984.0,0.0906227963662029,0.0010038987137670676,0.04711634529796531,0.0011371697335949965,285171.0,6124.0,168591.0,6454.0,17.581409511464713,19.991647298082512,3146791.0,6100217.0,3578185.0,5675494.0,,,,,,
1006,slk,epo,9.3,41.0,41405.0,0.15843796585642733,0.0042415900921707606,0.11888754698623435,0.004437135965361713,101605.0,5427.0,84068.0,5456.0,15.488274362999638,17.078178963893247,641292.0,1279473.0,707122.0,1229622.0,,,,,,
1007,slk,spa,9.4,81.0,81589.0,0.13109894385988358,0.0022257023538344717,0.06852478549136881,0.0023985128718238733,166769.0,5628.0,105131.0,5734.0,15.591378739781096,18.804054468126832,1272085.0,2528640.0,1534204.0,2390648.0,,,,,,
1008,slk,fra,8.5,83.0,83657.0,0.12724705985923795,0.0022756078359635053,0.06625986975934242,0.002230613704541323,161886.0,5573.0,102279.0,5620.0,15.207549876280524,18.451582055297227,1272218.0,2449016.0,1543604.0,2519486.0,,,,,,
1009,slk,fr-ca,6.7,,,,,,,,,,,,,,,,,,,,,,
1010,slk,glg,2.7,29.0,29118.0,0.1892527587833578,0.005816151389401873,0.11283109935161224,0.006369744722882229,85853.0,5354.0,58209.0,5359.0,15.57943540078302,17.717391304347824,453642.0,920540.0,515895.0,841321.0,,,,,,
1011,slk,heb,1.0,36.0,36947.0,0.1699046301020159,0.005251672072653274,0.15538782565301645,0.0056394234500089825,86921.0,5275.0,77222.0,5305.0,13.846509865482991,13.450699650851217,511587.0,1004442.0,496963.0,940699.0,,,,,,
1012,slk,hrv,5.1,35.0,35635.0,0.17091507437371478,0.005064252586006371,0.16449091485374612,0.005285812485924989,91095.0,5334.0,88744.0,5375.0,14.956755998316266,15.139806370141716,532984.0,1053265.0,539507.0,1016873.0,,,,,,
1013,slk,hun,3.7,56.0,56197.0,0.15047927234143682,0.0032810870059569717,0.16840228589527392,0.0036652048219688866,125370.0,5454.0,136113.0,5709.0,14.825310959659767,14.382636083776712,833138.0,1662254.0,808261.0,1557621.0,,,,,,
1014,slk,ind,4.9,37.0,37954.0,0.16459774276114805,0.0042839754152203405,0.09410089065668836,0.004921684214292742,103663.0,5413.0,64681.0,5502.0,16.593666016757126,18.110291405385468,629796.0,1263546.0,687358.0,1117910.0,,,,,,
1015,slk,ita,6.9,72.0,72794.0,0.13332234716354066,0.002518321154969898,0.07600274634005891,0.002445874800506208,154525.0,5637.0,102948.0,5744.0,15.92209522762865,18.60771492155947,1159033.0,2238396.0,1354530.0,2348444.0,,,,,,
1016,slk,jpn,2.2,48.0,48948.0,0.15698358056919384,0.004541998224907749,0.3759406321047744,0.003863079370276524,95857.0,5358.0,93922.0,4743.0,12.4748304322955,5.104028765220233,610618.0,1179657.0,249832.0,1227777.0,,,,,,
1017,slk,kor,3.9,25.0,25644.0,0.20031052886948084,0.007113987210075063,0.05040933745994041,0.003326557974831039,72247.0,5224.0,17444.0,2558.0,14.064693495554517,13.494267664950865,360675.0,734328.0,346047.0,768963.0,,,,,,
1018,slk,mkd,3.5,29.0,29821.0,0.1769674577109157,0.005915277034551581,0.13715298334480605,0.006116611005544718,80179.0,5317.0,68341.0,5337.0,15.193051876194628,16.709131149190167,453072.0,898859.0,498283.0,872542.0,,,,,,
1019,slk,nob,4.9,,,,,,,,,,,,,,,,,,,,,,
1020,slk,nld,5.0,66.0,66565.0,0.14055225549253753,0.003100272023506239,0.096818139965763,0.0032164985555458788,130872.0,5531.0,103048.0,5577.0,13.988237061518815,15.989574100503269,931127.0,1784037.0,1064346.0,1733873.0,,,,,,
1021,slk,pol,7.1,81.0,81071.0,0.13084076546355752,0.002371626981413351,0.12654934808430235,0.002473419143103593,154555.0,5549.0,147880.0,5669.0,14.570499932158231,14.413982805195445,1181245.0,2339744.0,1168556.0,2291969.0,,,,,,
1022,slk,por,7.8,71.0,71181.0,0.13109501419070616,0.0024060901524325124,0.07275924352122136,0.002553989700612661,154738.0,5655.0,100425.0,5694.0,16.58237451005184,19.39052556159649,1180350.0,2350286.0,1380237.0,2229453.0,,,,,,
1023,slk,pt-br,8.5,,,,,,,,,,,,,,,,,,,,,,
1024,slk,ron,3.5,42.0,42561.0,0.1585181785808474,0.004032198146095299,0.1052520777769885,0.0041708177842319435,106389.0,5427.0,81493.0,5434.0,15.769060877329009,18.191889288315593,671147.0,1345916.0,774265.0,1302862.0,,,,,,
1025,slk,rus,6.6,85.0,85656.0,0.12734876190398706,0.0022954095920322717,0.1289404551685451,0.0022317582383862412,156525.0,5582.0,163198.0,5673.0,14.349315868123655,14.776372933594846,1229105.0,2431810.0,1265685.0,2541942.0,,,,,,
1026,slk,slv,5.0,36.0,36507.0,0.17005982254844412,0.0047937295054898965,0.15894617280824833,0.005059061713945928,95317.0,5371.0,90400.0,5360.0,15.35297340236119,15.579094420248172,560491.0,1120422.0,568746.0,1059485.0,,,,,,
1027,slk,srp,1.5,34.0,34375.0,0.17699575296546635,0.0052111538829987935,0.18669367839980733,0.005407068041637661,90185.0,5331.0,96117.0,5344.0,14.822749090909092,14.977105454545455,509532.0,1022998.0,514838.0,988336.0,,,,,,
1028,slk,swe,4.3,51.0,51536.0,0.1529894696474621,0.0036262352677930328,0.12784184597911025,0.00384740756837915,117288.0,5429.0,100402.0,5453.0,14.875834368208633,15.239075597640483,766641.0,1497145.0,785361.0,1417318.0,,,,,,
1029,slk,tur,1.6,37.0,37685.0,0.1740604985455826,0.004947956653033497,0.16166975062517905,0.005708351656502826,93408.0,5317.0,83527.0,5387.0,14.240175135995756,13.70975189067268,536641.0,1074585.0,516652.0,943705.0,,,,,,
1030,slk,ukr,5.4,51.0,51350.0,0.15648614308125133,0.0036898594473386095,0.15526312151832244,0.003632000431418017,114415.0,5371.0,112322.0,5388.0,14.238578383641677,14.088218111002922,731151.0,1455611.0,723430.0,1483480.0,,,,,,
1031,slk,vie,5.4,38.0,38667.0,0.16077667529808962,0.004152201871752135,0.045899904552433916,0.0036855563804338858,105242.0,5411.0,44242.0,5585.0,16.928776476064858,24.927716140378102,654585.0,1303164.0,963880.0,1515375.0,,,,,,
1032,slk,cmn,2.3,38.0,,,,,,,,,,,,,,,,,,,,,
