Task lang,Aux lang,Accuracy,Rank,Accuracy level,Overlap word-level,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
pcm,id,0.187,30,31,0.1092436974789916,5593,948,5.899789029535865,0.29277811458017583,0.0925206033276318,4.684904224426879,1.0,0.6197,0.6086,0.5687,0.3753,0.5913
pcm,uk,0.0133,58,3,0.010084033613445379,5873,948,6.1951476793248945,0.4399821508255243,0.0925206033276318,14.103814484514293,0.8333,0.6059,0.5774,0.0002,0.3626,0.2339
pcm,fa,0.1473,34,27,0.004201680672268907,5997,948,6.325949367088608,0.15688157524207003,0.0925206033276318,0.48391409856164586,1.0,0.0002,0.7616,0.0002,0.6737,1.0
pcm,he,0.11800000000000001,41,20,0.0025210084033613447,6216,948,6.556962025316456,0.4067013046511386,0.0925206033276318,11.531401597513856,1.0,0.5391,0.7164,0.0002,0.5415,0.1986
pcm,eu,0.228,21,40,0.023529411764705882,8993,948,9.486286919831224,0.35195278801662616,0.0925206033276318,7.8626834872387805,1.0,0.5325,0.7324,0.6409999999999999,0.5715,0.1887
pcm,lv,0.0582,52,9,0.02689075630252101,7703,948,8.125527426160337,0.37546297265061,0.0925206033276318,9.35231356770415,0.75,0.6338,1.0,0.5922,0.6737,0.276
pcm,sl,0.1988,25,36,0.05126050420168067,8000,948,8.438818565400844,0.3676498731122853,0.0925206033276318,8.842940008793772,0.8333,0.6409999999999999,0.5788,0.0002,0.40399999999999997,0.2094
pcm,hr,0.1898,29,32,0.07647058823529412,8889,948,9.376582278481013,0.2981575694863614,0.0925206033276318,4.939983104424799,0.875,0.8705,0.513,0.0002,0.479,0.2065
pcm,ro,0.2003,24,37,0.08403361344537816,9524,948,10.046413502109704,0.2570438554726763,0.0925206033276318,3.1621149904700023,0.8889,0.6059,0.5717,0.6409999999999999,0.3203,0.225
pcm,sk,0.1584,31,30,0.03697478991596639,10604,948,11.185654008438819,0.4130087201061381,0.0925206033276318,11.999052403471328,0.8333,0.0002,0.7616,0.0002,0.6737,0.2265
pcm,bg,0.0175,57,4,0.0033613445378151263,11138,948,11.748945147679326,0.28919503250418754,0.0925206033276318,4.518755928482911,0.8571,0.6059,0.6635,0.6162,0.5052,0.2126
pcm,pt,0.2667,12,49,0.1092436974789916,12078,948,12.740506329113924,0.19858954536165552,0.0925206033276318,1.3143152948543155,0.9333,0.6128,0.5436,0.0002,0.35100000000000003,0.1845
pcm,nl,0.106,42,19,0.12605042016806722,13583,948,14.328059071729959,0.2163749886307094,0.0925206033276318,1.7920324276771111,0.6,0.6338,0.5686,0.0002,0.4305,0.2353
pcm,en,0.5337,1,60,0.6848739495798319,16622,948,17.533755274261605,0.1746279711803919,0.0925206033276318,0.7875667050215235,0.1,0.5654,0.6382,0.5687,0.4661,0.2419
pcm,it,0.0684,51,10,0.11092436974789915,14167,948,14.94409282700422,0.20905399119075654,0.0925206033276318,1.5864406616712512,0.9,0.6059,0.5617,0.0002,0.3303,0.19
pcm,ca,0.2631,14,47,0.09327731092436975,16678,948,17.59282700421941,0.14310696846691084,0.0925206033276318,0.2989441345184318,0.9091,0.6629,0.5555,0.6162,0.3459,0.1792
pcm,hi,0.0338,55,6,0.0008403361344537816,16647,948,17.560126582278482,0.07283156362415602,0.0925206033276318,0.04528685453781008,0.875,0.5788,0.6369,0.5922,0.5081,0.3912
pcm,pl,0.1294,37,24,0.03613445378151261,17246,948,18.19198312236287,0.4049278834815912,0.0925206033276318,11.401588941281995,0.8333,0.599,0.6568,0.6162,0.4746,0.2433
pcm,de,0.0915,47,14,0.09327731092436975,15590,948,16.445147679324894,0.27241931339802755,0.0925206033276318,3.780760668947235,0.4286,0.5788,0.6281,0.5456,0.4382,0.22
pcm,fro,0.0993,44,17,0.07983193277310924,17678,948,18.647679324894515,0.0937745835963677,0.0925206033276318,0.00018369802777257774,0.9231,0.6936,1.0,0.0002,0.6737,0.2022
pcm,es,0.2583,17,44,0.08067226890756303,17680,948,18.649789029535864,0.14742968391461025,0.0925206033276318,0.35221790645677437,0.9231,0.5588,0.7119,0.5922,0.5275,0.17300000000000001
pcm,fr,0.3121,6,55,0.19747899159663865,16448,948,17.350210970464136,0.2057620460579268,0.0925206033276318,1.498076099396518,0.9375,0.5721,0.6241,0.5456,0.4379,0.2133
pcm,fi,0.0935,46,15,0.03949579831932773,18723,948,19.75,0.3189427368077481,0.0925206033276318,5.989090066108308,1.0,0.5721,0.6487,0.5687,0.4436,0.3172
pcm,grc,0.0974,45,16,0.0008403361344537816,17081,948,18.01793248945148,0.17307422740143352,0.0925206033276318,0.758041976917815,0.8,0.6936,1.0,0.0002,0.6737,0.18899999999999997
pcm,no,0.0374,53,8,0.1546218487394958,20045,948,21.14451476793249,0.1846147253241721,0.0925206033276318,0.9908020837435026,0.5,0.718,1.0,0.0002,0.6737,0.2807
pcm,ar,0.1558,32,29,0.0008403361344537816,19738,948,20.820675105485233,4.7672168034857886e-06,0.0925206033276318,0.9998969506506827,1.0,0.0002,0.7616,0.0002,0.6737,1.0
pcm,la,0.1209,39,22,0.043697478991596636,18400,948,19.40928270042194,0.1715984617000315,0.0925206033276318,0.7305213041056051,0.8333,0.6555,1.0,0.0002,0.6737,0.1836
pcm,et,0.1321,36,25,0.0773109243697479,26197,948,27.633966244725737,0.3337469262526225,0.0925206033276318,6.797864150897084,1.0,0.6555,1.0,0.0002,0.6737,0.2879
pcm,ko,0.0777,50,11,0.03697478991596639,27363,948,28.86392405063291,0.2977608806802764,0.0925206033276318,4.920942307475862,1.0,0.5654,0.6975,0.6409999999999999,0.5203,0.608
pcm,ja,0.1515,33,28,0.0,57256,948,60.39662447257384,0.00031979533098816764,0.0925206033276318,0.9930989933719808,1.0,0.5922,0.6459999999999999,0.6162,0.4504,0.6419
pcm,ru,0.0314,56,5,0.02773109243697479,61889,948,65.28375527426161,0.2241205920170711,0.0925206033276318,2.023181250546175,0.8,0.5654,0.6807,0.6162,0.4693,0.3857
pcm,cs,0.1928,27,34,0.13109243697478992,87913,948,92.73523206751055,0.17271764924418356,0.0925206033276318,0.7513457430104816,0.8571,0.6555,0.6121,0.0002,0.4632,0.22899999999999998
am,bxr,0.134,25,36,0.0004017677782241864,927,1074,0.8631284916201117,0.6023336111441838,0.4744567289363325,0.07264251261864556,1.0,0.5721,0.6193,0.5687,0.6597,0.366
am,kmr,0.1353,24,37,0.0008035355564483728,754,1074,0.702048417132216,0.3877346961448728,0.4744567289363325,0.03340916934827803,1.0,0.6785,0.5441,0.5096,0.436,0.1416
am,hsb,0.1657,14,47,0.0008035355564483728,646,1074,0.6014897579143389,0.5423194196193881,0.4744567289363325,0.020458271095771516,1.0,0.5721,0.6193,0.5687,0.6597,0.2472
am,kk,0.1499,17,44,0.0008035355564483728,1078,1074,1.0037243947858474,0.6191198786039454,0.4744567289363325,0.09296567186709345,1.0,0.7896,0.8792,1.0,0.6597,0.2103
am,hy,0.2132,4,57,0.0004017677782241864,564,1074,0.5251396648044693,0.5479001354751306,0.4744567289363325,0.023961411885230845,1.0,0.5129,0.4759,0.5032,0.4249,0.1594
am,swl,0.0691,49,12,0.0004017677782241864,203,1074,0.18901303538175046,0.4872907625542468,0.4744567289363325,0.000731700116897561,1.0,0.5721,0.6193,0.5687,0.6597,0.28
am,lt,0.1301,27,34,0.0004017677782241864,263,1074,0.24487895716945995,0.5654157163591126,0.4744567289363325,0.03675344165191197,1.0,0.5654,0.5115,0.4638,0.4713,0.2507
am,be,0.0857,45,16,0.0004017677782241864,393,1074,0.3659217877094972,0.5525618374558304,0.4744567289363325,0.027099773407690198,1.0,0.7539,0.8425,0.5687,0.6597,0.2389
am,mr,0.1969,8,53,0.0008035355564483728,466,1074,0.4338919925512104,0.5290718671000361,0.4744567289363325,0.013250517884253772,1.0,0.5935,0.5632,0.5687,0.466,0.20199999999999999
am,cop,0.2134,3,58,0.0004017677782241864,514,1074,0.478584729981378,0.4940717882085432,0.4744567289363325,0.0017091730208705104,0.6667,0.7339,0.8301,0.5687,0.6597,0.1077
am,ta,0.2737,1,60,0.0004017677782241864,600,1074,0.5586592178770949,0.5614149588826524,0.4744567289363325,0.033591404397612976,1.0,0.5342,0.5471,0.5687,0.4801,0.2141
am,ga,0.1649,15,46,0.0012053033346725592,1020,1074,0.9497206703910615,0.3499300699300699,0.4744567289363325,0.06888607686926414,1.0,0.7228,0.6315,0.5687,0.4993,0.3103
am,hu,0.1118,33,28,0.0004017677782241864,1800,1074,1.675977653631285,0.4546198320061089,0.4744567289363325,0.0017480516186745415,1.0,0.5696,0.4875,0.4477,0.4091,0.2166
am,te,0.1658,13,48,0.0016070711128967456,1328,1074,1.2364990689013036,0.34461966604823746,0.4744567289363325,0.07488660536989362,1.0,0.5770000000000001,0.5416,0.3498,0.5211,0.2123
am,af,0.0963,40,21,0.0008035355564483728,1934,1074,1.8007448789571694,0.20348486540824304,0.4744567289363325,0.32617838301475544,1.0,0.623,0.6265,0.5687,0.57,0.1944
am,vi,0.1857,10,51,0.0012053033346725592,3000,1074,2.793296089385475,0.15680435614923213,0.4744567289363325,0.44824038946733313,1.0,0.7724,0.648,0.5829,0.5627,0.3607
am,ug,0.1939,9,52,0.0004017677782241864,3456,1074,3.217877094972067,0.4374610522567435,0.4744567289363325,0.0060800721079953815,1.0,0.5889,0.7319,0.7736,0.6597,0.2615
am,el,0.0943,41,20,0.0008035355564483728,2521,1074,2.3472998137802605,0.2837253360022877,0.4744567289363325,0.1616036405847426,1.0,0.6336,0.573,0.4477,0.5329,0.1843
am,sme,0.1791,11,50,0.0008035355564483728,3122,1074,2.9068901303538177,0.4513223794042703,0.4744567289363325,0.0023775045963217506,1.0,0.6764,0.7952,0.5687,0.6597,0.3229
am,gl,0.1127,32,29,0.0008035355564483728,3993,1074,3.717877094972067,0.23027218766153898,0.4744567289363325,0.26487630658061084,1.0,0.7502,0.6127,0.5687,0.4394,0.28300000000000003
am,sr,0.2247,2,59,0.0004017677782241864,3891,1074,3.622905027932961,0.3111760696308725,0.4744567289363325,0.11843396523954926,1.0,0.6436,0.7562,0.7196,0.6597,0.1998
am,got,0.1195,29,32,0.0004017677782241864,5401,1074,5.028864059590316,0.1811019353439708,0.4744567289363325,0.38229019361009475,1.0,0.7133,0.8174,0.5687,0.6597,0.2008
am,tr,0.209,5,56,0.0004017677782241864,5635,1074,5.246741154562383,0.5061541783632045,0.4744567289363325,0.004463293172232909,1.0,0.5422,0.5039,0.4477,0.4801,0.1598
am,zh,0.1096,34,27,0.0004017677782241864,4997,1074,4.6527001862197395,0.9869043288468534,0.4744567289363325,1.1665563072539753,1.0,0.5721,0.6193,0.5687,0.6597,1.0
am,ur,0.1049,37,24,0.0008035355564483728,5130,1074,4.776536312849162,0.10564061179587518,0.4744567289363325,0.6042637783596367,1.0,0.6699,0.6402,0.5687,0.5599,0.162
am,cu,0.1423,20,41,0.0004017677782241864,6337,1074,5.900372439478585,0.19595240163293667,0.4744567289363325,0.34456461392053206,1.0,0.5721,0.6193,0.5687,0.6597,0.195
am,sv,0.1404,22,39,0.0008035355564483728,6026,1074,5.610800744878957,0.2404336943809909,0.4744567289363325,0.2432898509313028,1.0,0.6509999999999999,0.6416,0.5687,0.5805,0.2824
am,da,0.0384,51,10,0.0008035355564483728,5512,1074,5.132216014897579,0.2897915761056075,0.4744567289363325,0.15148745828000718,1.0,0.6525,0.7809999999999999,0.5687,0.6597,0.2735
am,id,0.0358,52,9,0.0008035355564483728,5593,1074,5.207635009310987,0.29277811458017583,0.4744567289363325,0.14662715130130746,1.0,0.7527,0.5347,0.4816,0.2867,0.4018
am,uk,0.011000000000000001,57,4,0.0012053033346725592,5873,1074,5.468342644320298,0.4399821508255243,0.4744567289363325,0.005279644728921663,1.0,0.5959,0.5491,0.5687,0.4249,0.2145
am,fa,0.0709,48,13,0.0008035355564483728,5997,1074,5.583798882681564,0.15688157524207003,0.4744567289363325,0.4480224876843969,1.0,0.5721,0.6193,0.5687,0.6597,1.0
am,he,0.1725,12,49,0.0008035355564483728,6216,1074,5.787709497206704,0.4067013046511386,0.4744567289363325,0.020393647937425995,0.625,0.6336,0.6402,0.5687,0.5844,0.1102
am,eu,0.0938,42,19,0.0008035355564483728,8993,1074,8.373370577281191,0.35195278801662616,0.4744567289363325,0.06666638398308217,1.0,0.6197,0.5479,0.3498,0.5062,0.2627
am,lv,0.0983,38,23,0.0008035355564483728,7703,1074,7.172253258845438,0.37546297265061,0.4744567289363325,0.04353337989711604,1.0,0.564,0.6744,0.4477,0.6597,0.259
am,sl,0.0118,56,5,0.0012053033346725592,8000,1074,7.4487895716946,0.3676498731122853,0.4744567289363325,0.05067631655096551,1.0,0.5798,0.5329,0.5687,0.4094,0.2245
am,hr,0.0838,46,15,0.0008035355564483728,8889,1074,8.276536312849162,0.2981575694863614,0.4744567289363325,0.13807252360327407,1.0,0.8435,0.6035,0.5687,0.3733,0.215
am,ro,0.1412,21,40,0.0008035355564483728,9524,1074,8.86778398510242,0.2570438554726763,0.4744567289363325,0.2099796904993225,1.0,0.6812,0.5012,0.4638,0.2991,0.2057
am,sk,0.1062,36,25,0.0008035355564483728,10604,1074,9.873370577281191,0.4130087201061381,0.4744567289363325,0.016773450381563734,1.0,0.5721,0.6193,0.5687,0.6597,0.2261
am,bg,0.1306,26,35,0.0008035355564483728,11138,1074,10.370577281191807,0.28919503250418754,0.4744567289363325,0.1524677714215615,1.0,0.6179,0.5544,0.4054,0.5282,0.1892
am,pt,0.1185,30,31,0.0008035355564483728,12078,1074,11.245810055865922,0.19858954536165552,0.4744567289363325,0.3380701772932888,1.0,0.6547,0.5769,0.5687,0.436,0.27
am,nl,0.0861,44,17,0.0012053033346725592,13583,1074,12.647113594040968,0.2163749886307094,0.4744567289363325,0.29588390140601,1.0,0.6121,0.5954,0.5687,0.5183,0.272
am,en,0.0826,47,14,0.002008838891120932,16622,1074,15.476722532588454,0.1746279711803919,0.4744567289363325,0.39934968857888664,1.0,0.6127,0.5425,0.4816,0.49200000000000005,0.2912
am,it,0.011000000000000001,57,4,0.0008035355564483728,14167,1074,13.190875232774674,0.20905399119075654,0.4744567289363325,0.3129086553219479,1.0,0.6395,0.5698,0.5687,0.4249,0.2169
am,ca,0.1471,18,43,0.002008838891120932,16678,1074,15.528864059590317,0.14310696846691084,0.4744567289363325,0.4877307093398497,1.0,0.6998,0.5132,0.4054,0.3561,0.2423
am,hi,0.1066,35,26,0.0008035355564483728,16647,1074,15.5,0.07283156362415602,0.4744567289363325,0.7165534872571868,1.0,0.5796,0.5305,0.4477,0.498,0.21
am,pl,0.2071,6,55,0.0016070711128967456,17246,1074,16.057728119180634,0.4049278834815912,0.4744567289363325,0.021475180116377352,1.0,0.6661,0.5449,0.4054,0.4542,0.242
am,de,0.0306,53,8,0.0016070711128967456,15590,1074,14.51582867783985,0.27241931339802755,0.4744567289363325,0.18133030333685168,1.0,0.5796,0.5466,0.5096,0.5258,0.2403
am,fro,0.1393,23,38,0.0004017677782241864,17678,1074,16.459962756052143,0.0937745835963677,0.4744567289363325,0.6437715728285827,1.0,0.6699,0.7913,0.5687,0.6597,0.2597
am,es,0.1565,16,45,0.0016070711128967456,17680,1074,16.461824953445067,0.14742968391461025,0.4744567289363325,0.47508806415317767,1.0,0.6379,0.5417,0.4477,0.4554,0.2545
am,fr,0.0134,55,6,0.002008838891120932,16448,1074,15.314711359404097,0.2057620460579268,0.4744567289363325,0.3207191735098895,1.0,0.6272,0.5572,0.5096,0.5052,0.2662
am,fi,0.0651,50,11,0.002008838891120932,18723,1074,17.432960893854748,0.3189427368077481,0.4744567289363325,0.10743498300567753,1.0,0.6272,0.5416,0.4816,0.4713,0.2996
am,grc,0.1431,19,42,0.0004017677782241864,17081,1074,15.904096834264433,0.17307422740143352,0.4744567289363325,0.40349935596379116,1.0,0.7454,0.8371,0.5687,0.6597,0.1786
am,no,0.0109,59,2,0.0012053033346725592,20045,1074,18.66387337057728,0.1846147253241721,0.4744567289363325,0.3731895083504338,1.0,0.6688,0.7906,0.5687,0.6597,0.2945
am,ar,0.115,31,30,0.0004017677782241864,19738,1074,18.3780260707635,4.7672168034857886e-06,0.4744567289363325,0.9999799046253837,1.0,0.5721,0.6193,0.5687,0.6597,1.0
am,la,0.0,60,1,0.0004017677782241864,18400,1074,17.13221601489758,0.1715984617000315,0.4744567289363325,0.4074606238770104,1.0,0.6833,0.7993,0.5687,0.6597,0.213
am,et,0.0163,54,7,0.0008035355564483728,26197,1074,24.39199255121043,0.3337469262526225,0.4744567289363325,0.08795397815379638,1.0,0.6362,0.7714,0.5687,0.6597,0.2747
am,ko,0.1279,28,33,0.0016070711128967456,27363,1074,25.477653631284916,0.2977608806802764,0.4744567289363325,0.13869457359436185,1.0,0.6127,0.5577,0.4638,0.5204,0.4539
am,ja,0.2045,7,54,0.0,57256,1074,53.31098696461825,0.00031979533098816764,0.4744567289363325,0.9986524058503538,1.0,0.5877,0.5481,0.5879,0.4998,0.4872
am,ru,0.0894,43,18,0.0016070711128967456,61889,1074,57.62476722532588,0.2241205920170711,0.4744567289363325,0.27839015415860435,1.0,0.6327,0.5513,0.4054,0.4949,0.2754
am,cs,0.0979,39,22,0.0016070711128967456,87913,1074,81.85567970204842,0.17271764924418356,0.4744567289363325,0.40445471449132614,1.0,0.5609,0.5489,0.5687,0.4653,0.2397
th,bxr,0.0901,40,21,0.009979353062629044,927,1000,0.927,0.6023336111441838,0.9207858048162232,0.11961103790811842,1.0,0.6267,0.6266,0.5687,0.6372,0.2049
th,kmr,0.1864,12,49,0.004817618719889883,754,1000,0.754,0.3877346961448728,0.9207858048162232,0.33513552866984075,1.0,0.8106,0.604,0.42700000000000005,0.5168,0.3102
th,hsb,0.1847,13,48,0.01307639366827254,646,1000,0.646,0.5423194196193881,0.9207858048162232,0.16894190752988217,1.0,0.6267,0.6266,0.5687,0.6372,0.4259
th,kk,0.1753,18,43,0.0182381280110117,1078,1000,1.078,0.6191198786039454,0.9207858048162232,0.10733349871055428,1.0,0.8831,0.9081,0.805,0.6372,0.2273
th,hy,0.1136,38,23,0.009291121816930488,564,1000,0.564,0.5479001354751306,0.9207858048162232,0.1639963397506209,1.0,0.7257,0.635,0.5879,0.5531,0.3045
th,swl,0.0629,46,15,0.0,203,1000,0.203,0.4872907625542468,0.9207858048162232,0.22164147877143586,1.0,0.6267,0.6266,0.5687,0.6372,0.4171
th,lt,0.1336,33,28,0.0020646937370956643,263,1000,0.263,0.5654157163591126,0.9207858048162232,0.14895137270204745,1.0,0.7689,0.5995,0.4638,0.4887,0.3934
th,be,0.036000000000000004,51,10,0.011011699931176875,393,1000,0.393,0.5525618374558304,0.9207858048162232,0.1599215074926046,1.0,0.7859,0.8759,0.5687,0.6372,0.3876
th,mr,0.1532,28,33,0.0,466,1000,0.466,0.5290718671000361,0.9207858048162232,0.18097593054820582,1.0,0.8807,0.6247,0.5687,0.3767,0.1297
th,cop,0.1176,37,24,0.0,514,1000,0.514,0.4940717882085432,0.9207858048162232,0.2147615780964931,1.0,0.6422,0.7974,0.5687,0.6372,0.3632
th,ta,0.19,10,51,0.011355815554026153,600,1000,0.6,0.5614149588826524,0.9207858048162232,0.1523240411538923,1.0,0.9085,0.6815,0.5687,0.4792,0.1202
th,ga,0.2188,7,54,0.011011699931176875,1020,1000,1.02,0.3499300699300699,0.9207858048162232,0.38435762922438527,1.0,0.6089,0.5778,0.5687,0.4984,0.4955
th,hu,0.1312,34,27,0.021335168616655197,1800,1000,1.8,0.4546198320061089,0.9207858048162232,0.25630903073685923,1.0,0.6614,0.544,0.4477,0.4546,0.4088
th,te,0.2268,6,55,0.00034411562284927734,1328,1000,1.328,0.34461966604823746,0.9207858048162232,0.3915418889013977,1.0,0.9218,0.5964,0.3498,0.4364,0.1183
th,af,0.0734,45,16,0.01995870612525809,1934,1000,1.934,0.20348486540824304,0.9207858048162232,0.6068558856777021,1.0,0.7825,0.6192,0.5687,0.4548,0.4341
th,vi,0.2395,4,57,0.019270474879559532,3000,1000,3.0,0.15680435614923213,0.9207858048162232,0.6884119413625749,1.0,0.4225,0.4262,0.3277,0.4466,0.04
th,ug,0.2885,1,60,0.009635237439779766,3456,1000,3.456,0.4374610522567435,0.9207858048162232,0.2755248938233587,1.0,0.8981,0.9302,0.8886,0.6372,0.1916
th,el,0.0276,57,4,0.021679284239504472,2521,1000,2.521,0.2837253360022877,0.9207858048162232,0.478678677938452,1.0,0.6861,0.6012,0.4477,0.5433,0.3893
th,sme,0.1728,20,41,0.005849965588437715,3122,1000,3.122,0.4513223794042703,0.9207858048162232,0.25994788942121333,1.0,0.7929999999999999,0.8798,0.5687,0.6372,0.4036
th,gl,0.1451,31,30,0.028217481073640742,3993,1000,3.993,0.23027218766153898,0.9207858048162232,0.5623766287923242,1.0,0.7468,0.6051,0.5687,0.4594,0.5189
th,sr,0.1747,19,42,0.01686166551961459,3891,1000,3.891,0.3111760696308725,0.9207858048162232,0.4383152256399112,1.0,0.7112,0.8271,0.8632,0.6372,0.4008
th,got,0.1594,25,36,0.0,5401,1000,5.401,0.1811019353439708,0.9207858048162232,0.6453199108819084,1.0,0.6741,0.8142,0.5687,0.6372,0.3697
th,tr,0.1667,22,39,0.0010323468685478321,5635,1000,5.635,0.5061541783632045,0.9207858048162232,0.20277182955810302,1.0,0.7777,0.6008,0.4477,0.4792,0.3556
th,zh,0.2024,8,53,0.00034411562284927734,4997,1000,4.997,0.9869043288468534,0.9207858048162232,0.005156191867857292,1.0,0.6267,0.6266,0.5687,0.6372,1.0
th,ur,0.1282,36,25,0.030282174810736407,5130,1000,5.13,0.10564061179587518,0.9207858048162232,0.7837051718636135,1.0,0.7935,0.6333,0.5687,0.4862,0.1856
