Source,Target,BLEU,"Data Size (parallel sentences, K)"
ell,jpn,5.5,69
ell,kor,6.1,35
ell,mkd,10.2,52
ell,nob,9.3,
ell,nld,8.7,76
ell,pol,5.1,77
ell,por,18,144
ell,pt-br,18.3,
ell,ron,10.4,78
ell,rus,8.4,114
ell,slk,3.1,35
ell,slv,6.4,46
ell,srp,2,52
ell,swe,7.2,62
ell,tur,3.4,56
ell,ukr,7.2,68
ell,vie,14.4,75
ell,cmn,8.7,62
ell,zh-tw,5.3,
eng,ara,11.9,999
eng,bul,23.9,357
eng,bos,14.7,210
eng,ces,15.5,519
eng,dan,30.9,436
eng,deu,20.4,1573
eng,ell,27.1,620
eng,epo,22.6,298
eng,spa,35.8,3377
eng,est,14.3,243
eng,eus,7.6,119
eng,fas,8.8,303
eng,fin,10.9,375
eng,fra,32.6,2757
eng,fr-ca,25.1,
eng,glg,24.3,446
eng,heb,17.3,545
eng,hin,21.9,231
eng,hrv,18.8,259
eng,hun,13.5,488
eng,ind,28.8,1019
eng,ita,29.5,2126
eng,jpn,10.2,851
eng,kor,18.6,306
eng,lit,10,
eng,mkd,21.8,395
eng,mar,3.5,124
eng,nob,31.8,
eng,nld,25.1,796
eng,pol,12,668
eng,por,31.4,2461
eng,pt-br,37,
eng,ron,20.4,631
eng,rus,17.4,1661
eng,slk,13.8,178
eng,slv,16.5,318
eng,srp,5.5,395
eng,swe,29.1,546
eng,tur,10.3,477
eng,ukr,17.6,681
eng,vie,26.9,1073
eng,cmn,18,786
eng,zh-tw,10.7,
epo,ara,1.8,37
epo,bul,6.4,40
epo,ces,7.3,75
epo,dan,7.4,39
epo,deu,13.5,186
epo,ell,8.1,39
epo,eng,23.1,298
epo,spa,16.1,149
epo,fra,17.6,134
epo,fr-ca,12.7,
epo,glg,10.5,46
epo,heb,1.9,39
epo,hrv,3,29
epo,hun,4.8,57
epo,ind,9.2,46
epo,ita,13.9,101
epo,jpn,2.5,48
epo,kor,4.8,26
epo,mkd,6.2,30
epo,nob,7.2,
epo,nld,12.1,81
epo,pol,6.7,77
epo,por,12.4,91
epo,pt-br,16,
epo,ron,6.9,43
epo,rus,8.6,81
epo,slk,7.4,41
epo,slv,5.6,32
epo,srp,0.6,36
epo,swe,8.8,53
epo,tur,1.8,37
epo,ukr,5.4,50
epo,vie,7.7,42
epo,cmn,5.2,39
epo,zh-tw,3.6,
spa,ara,6.2,174
spa,bul,14.3,122
spa,bos,6.8,70
spa,ces,8,181
spa,dan,15.7,140
spa,deu,12.9,418
spa,ell,16.4,145
spa,eng,33.2,3377
spa,epo,13.5,149
spa,fra,25.6,905
spa,fr-ca,19.9,
spa,glg,30.1,610
spa,heb,8.1,153
spa,hrv,8.7,94
spa,hun,7.7,167
spa,ind,16.1,198
spa,ita,23.8,671
spa,jpn,7.9,219
spa,kor,9.9,108
spa,mkd,11.9,92
spa,nob,13.3,
spa,nld,14.1,272
spa,pol,8.1,235
spa,por,27.6,923
spa,pt-br,27.8,
spa,ron,14.7,183
spa,rus,11.6,393
spa,slk,6,81
spa,slv,8.1,93
spa,srp,2.6,107
spa,swe,13.7,181
spa,tur,5.2,147
spa,ukr,10,187
spa,vie,17.8,206
spa,cmn,12.3,174
spa,zh-tw,6.6,
est,eng,15.9,243
eus,eng,10.1,119
fas,eng,16.7,303
fin,eng,10.9,375
fra,ara,6,163
fra,bul,12.7,117
fra,bos,5,60
fra,ces,8.3,185
fra,dan,15.6,142
fra,deu,14.5,626
fra,ell,15.4,137
fra,eng,31.6,2757
fra,epo,18.6,134
fra,spa,26.4,905
fra,glg,17.2,154
fra,heb,6.8,136
fra,hrv,6.9,85
fra,hun,7.7,164
fra,ind,15,161
fra,ita,24.6,744
fra,jpn,7.3,214
fra,kor,8.7,89
fra,mkd,10.7,83
fra,nob,13.1,
fra,nld,15.9,331
fra,pol,8.1,255
fra,por,24.2,558
fra,pt-br,26,
fra,ron,16.5,206
fra,rus,12.7,410
fra,slk,5.8,83
fra,slv,7.1,86
fra,srp,2.1,92
fra,swe,13.8,186
fra,tur,4.2,130
fra,ukr,9.8,170
fra,vie,17,165
fra,cmn,11.1,157
fra,zh-tw,6.6,
fr-ca,ara,4.9,
fr-ca,bul,12.5,
fr-ca,bos,2.8,
fr-ca,ces,7.8,
fr-ca,dan,14.3,
fr-ca,deu,12.9,
fr-ca,ell,15.4,
fr-ca,eng,27.8,
fr-ca,epo,14,
fr-ca,spa,23.7,
fr-ca,glg,18.1,
fr-ca,heb,6.8,
fr-ca,hrv,6.8,
fr-ca,hun,7.9,
fr-ca,ind,13.7,
fr-ca,ita,23.4,
fr-ca,jpn,7.5,
fr-ca,kor,8.8,
fr-ca,mkd,10.3,
fr-ca,nld,15.1,
fr-ca,pol,7.2,
fr-ca,por,18.6,
fr-ca,pt-br,23.2,
fr-ca,ron,15.3,
fr-ca,rus,11.3,
fr-ca,slk,6.1,
fr-ca,slv,6.6,
fr-ca,srp,3.3,
fr-ca,swe,12.5,
fr-ca,tur,5,
fr-ca,ukr,9.7,
fr-ca,vie,15.4,
fr-ca,zh-tw,6.2,
glg,ara,2.6,50
glg,bul,7.3,43
glg,bos,4.7,32
glg,ces,2.9,54
glg,dan,7.4,44
glg,deu,5.3,80
glg,ell,8.5,48
glg,eng,23.4,446
glg,epo,9.2,46
glg,spa,34.4,610
glg,fra,16,154
glg,fr-ca,15.2,
glg,heb,2.5,41
glg,hrv,3.5,33
glg,hun,2.8,50
