Source,Target,BLEU,"Data Size (parallel sentences, K)"
swe,slv,4.7,50
swe,srp,1,51
swe,tur,3.2,72
swe,ukr,6.9,82
swe,vie,12.9,74
swe,cmn,7.8,73
swe,zh-tw,4.8,
tur,ara,2.2,69
tur,bul,3.5,56
tur,bos,2,33
tur,ces,2.6,75
tur,dan,3.9,55
tur,deu,4.1,127
tur,ell,4.7,56
tur,eng,15.9,477
tur,epo,2.9,37
tur,spa,9.4,147
tur,fra,7.7,130
tur,fr-ca,6.7,
tur,glg,3.6,43
tur,heb,1.6,54
tur,hrv,2.1,42
tur,hun,3.4,75
tur,ind,6.7,79
tur,ita,6.4,112
tur,jpn,4.3,84
tur,kor,7,47
tur,mkd,3.5,43
tur,nob,3.1,
tur,nld,4.2,90
tur,pol,2.5,92
tur,por,9,140
tur,pt-br,8.4,
tur,ron,4.6,72
tur,rus,4,119
tur,slk,1.8,37
tur,slv,2.3,39
tur,srp,0.8,43
tur,swe,3.5,72
tur,ukr,3.3,67
tur,vie,8.2,77
tur,cmn,6.7,69
tur,zh-tw,4.4,
ukr,ara,2.9,70
ukr,bul,12.3,126
ukr,bos,5.3,39
ukr,ces,7.4,104
ukr,dan,7.5,62
ukr,deu,7.5,165
ukr,ell,8.4,68
ukr,eng,20.7,681
ukr,epo,6.5,50
ukr,spa,14.2,187
ukr,fra,14.1,170
ukr,fr-ca,11.2,
ukr,glg,5.5,51
ukr,heb,3.5,73
ukr,hrv,6.6,55
ukr,hun,4.7,83
ukr,ind,9.5,73
ukr,ita,11.2,144
ukr,jpn,4.9,92
ukr,kor,5.8,48
ukr,mkd,7.2,57
ukr,nob,6.3,
ukr,nld,6.9,104
ukr,pol,9.6,172
ukr,pt-br,12.9,
ukr,ron,7.2,82
ukr,rus,23.5,2486
ukr,slk,4.9,51
ukr,slv,5.7,50
ukr,srp,2.6,71
ukr,swe,6.9,82
ukr,tur,2.6,67
ukr,vie,11.4,73
ukr,cmn,7.9,72
ukr,zh-tw,4.9,
vie,ara,4.2,93
vie,bul,7.5,60
vie,bos,4,38
vie,ces,4.7,74
vie,dan,8.5,68
vie,deu,6,107
vie,ell,8.8,75
vie,eng,20.2,1073
vie,epo,7.3,42
vie,spa,13.7,206
vie,fra,13.2,165
vie,fr-ca,9.9,
vie,glg,6.5,58
vie,heb,4.6,66
vie,hrv,4.9,46
vie,hun,4.7,74
vie,ind,14.7,146
vie,ita,10.7,143
vie,jpn,5.6,75
vie,kor,9.3,49
vie,mkd,6.9,57
vie,nob,5.7,
vie,nld,7.3,84
vie,pol,4.5,84
vie,por,13,213
vie,pt-br,14.1,
vie,ron,8.5,96
vie,rus,7.2,122
vie,slk,3.4,38
vie,slv,4.6,48
vie,srp,1.7,56
vie,swe,8.2,74
vie,tur,4,77
vie,ukr,6.7,73
vie,cmn,9.9,89
vie,zh-tw,6.7,
cmn,ara,2.1,86
cmn,bul,3.2,60
cmn,bos,1,31
cmn,ces,2.2,80
cmn,dan,3.8,57
cmn,deu,3.2,134
cmn,ell,4.5,62
cmn,eng,11.8,786
cmn,epo,3.8,39
cmn,spa,8.2,174
cmn,fra,7.6,157
cmn,glg,3.2,46
cmn,heb,1.7,62
cmn,hrv,1.9,42
cmn,hun,3,75
cmn,ind,6.6,83
cmn,ita,6,137
cmn,mkd,3.4,45
cmn,nld,3.8,88
cmn,pol,2.2,92
cmn,por,7.1,165
cmn,pt-br,7.9,
cmn,ron,4.1,74
cmn,rus,4.1,148
cmn,slk,1.6,38
cmn,slv,2.4,42
cmn,srp,0.9,45
cmn,swe,3.1,73
cmn,tur,2.3,69
cmn,ukr,3,72
cmn,vie,10.8,89
zh-tw,ara,2.2,
zh-tw,bul,3.1,
zh-tw,bos,1.1,
zh-tw,ces,2.1,
zh-tw,dan,3.7,
zh-tw,deu,2.8,
zh-tw,ell,3.9,
zh-tw,eng,10.7,
zh-tw,epo,3.4,
zh-tw,spa,7.5,
zh-tw,fra,7.2,
zh-tw,fr-ca,6.1,
zh-tw,glg,2.8,
zh-tw,heb,1.8,
zh-tw,hrv,1.6,
zh-tw,hun,3,
zh-tw,ind,6.2,
zh-tw,ita,5.4,
zh-tw,mkd,2.8,
zh-tw,nld,3.5,
zh-tw,pol,2.3,
zh-tw,por,6.3,
zh-tw,pt-br,6.9,
zh-tw,ron,3.5,
zh-tw,rus,3.9,
zh-tw,slk,1.4,
zh-tw,slv,2.1,
zh-tw,srp,0.9,
zh-tw,swe,3,
zh-tw,tur,2.4,
zh-tw,ukr,2.9,
zh-tw,vie,10,
