Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
pa,ti,0.02,52,2,0.0,81,7902,0.010250569476082005,1.0,0.7092,0.6283,0.0002,0.5825,0.2041
pa,tk,0.17,10,44,0.0,1152,7902,0.14578587699316628,1.0,0.6143,0.7817,0.879,0.5732,0.0856
pa,tr,0.13,21,33,0.0,10000,7902,1.2655024044545684,1.0,0.5978,0.5959,0.5922,0.5479999999999999,0.2004
pa,uk,0.17,10,44,0.0,10000,7902,1.2655024044545684,0.8333,0.518,0.5105,0.0002,0.5008,0.2376
pa,ug,0.12,26,28,0.0,1167,7902,0.14768413059984814,1.0,0.5824,0.772,0.7877,0.5732,0.0779
pa,uz,0.17,10,44,0.0,10000,7902,1.2655024044545684,1.0,0.5788,0.6003,0.0002,0.5732,1.0
pa,vi,0.1,32,22,0.0,10000,7902,1.2655024044545684,1.0,0.7692,0.6322,0.5456,0.4909,0.1696
pa,xh,0.03,49,5,0.00012655024044545685,218,7902,0.027587952417109592,1.0,0.8792,0.6441,0.0002,0.5008,0.4222
pa,yo,0.08,37,17,0.00012655024044545685,7227,7902,0.9145785876993167,1.0,0.7867,0.6463,0.5922,0.4832,0.3937
pa,zu,0.12,26,28,0.0,462,7902,0.058466211085801065,1.0,0.7111,0.6484,0.5228,0.5342,0.3877
te,am,0.22,6,48,0.00016691704223001168,2028,5991,0.3385077616424637,1.0,0.5770000000000001,0.5416,0.3498,0.5211,0.2123
te,ar,0.06,45,9,0.0,10000,5991,1.669170422300117,1.0,0.7016,0.6145,0.6409999999999999,0.5608,1.0
te,az,0.16,15,39,0.0,10000,5991,1.669170422300117,1.0,0.7016,0.6145,0.6409999999999999,0.5608,1.0
te,bn,0.3,5,49,0.0,10000,5991,1.669170422300117,1.0,0.631,0.4095,0.2163,0.3198,0.0722
te,ca,0.14,25,29,0.0,10000,5991,1.669170422300117,1.0,0.7973,0.5502,0.2163,0.4565,0.3793
te,ceb,0.08,40,14,0.0,10000,5991,1.669170422300117,1.0,0.9549,0.6827,0.6409999999999999,0.5587,0.2512
te,ckb,0.18,9,45,0.00016691704223001168,6279,5991,1.0480721081622433,1.0,0.762,0.8911,0.6409999999999999,0.5608,0.1943
te,de,0.15,21,33,0.0,10000,5991,1.669170422300117,1.0,0.6558,0.5698,0.3918,0.5367,0.345
te,fa,0.14,25,29,0.0,10000,5991,1.669170422300117,1.0,0.7016,0.6145,0.6409999999999999,0.5608,1.0
te,fr,0.09,39,15,0.0,10000,5991,1.669170422300117,1.0,0.7637,0.5713,0.3918,0.4777,0.3834
te,ha,0.16,15,39,0.0,1071,5991,0.17876815222834253,1.0,0.879,0.6547,0.3918,0.5594,0.3767
te,hi,0.47,1,53,0.0,10000,5991,1.669170422300117,1.0,0.5997,0.4097,0.2952,0.3131,0.0483
te,hu,0.12,32,22,0.0,10000,5991,1.669170422300117,1.0,0.601,0.5231,0.2952,0.4744,0.317
te,ilo,0.13,29,25,0.00016691704223001168,3549,5991,0.5923885828743115,1.0,0.8302,0.6206,0.6409999999999999,0.496,0.2252
te,id,0.19,7,47,0.0,10000,5991,1.669170422300117,1.0,0.8186,0.5976,0.3498,0.4878,0.2157
te,it,0.15,21,33,0.0,10000,5991,1.669170422300117,1.0,0.7183,0.6241,0.6409999999999999,0.5157,0.3414
te,jv,0.18,9,45,0.00016691704223001168,9243,5991,1.542814221331998,1.0,0.8718,0.5165,0.4196,0.4304,0.2001
te,kk,0.12,32,22,0.0,10000,5991,1.669170422300117,1.0,0.7048,0.8806,1.0,0.5608,0.1541
te,rw,0.05,47,7,0.0,864,5991,0.1442163244867301,1.0,0.7823,0.61,0.6409999999999999,0.5114,0.2869
te,ky,0.17,12,42,0.0,10000,5991,1.669170422300117,1.0,0.5489,0.5328,0.3918,0.5442,0.1437
te,ku,0.17,12,42,0.0,4006,5991,0.6686696711734268,1.0,0.7468,0.8844,0.6409999999999999,0.5608,0.1947
te,lo,0.01,52,2,0.0,521,5991,0.08696377900183609,1.0,0.8502,0.6576,0.6409999999999999,0.5309,0.1379
te,mr,0.36,3,51,0.0,10000,5991,1.669170422300117,1.0,0.5199,0.4486,0.6409999999999999,0.3556,0.0136
te,mt,0.08,40,14,0.0,1390,5991,0.23201468869971625,1.0,0.9362,0.6585,0.6409999999999999,0.5629,0.332
te,my,0.01,52,2,0.0,3282,5991,0.5478217325988983,1.0,0.6331,0.5106,0.4259,0.4426,0.0839
te,ms,0.19,7,47,0.0,10000,5991,1.669170422300117,1.0,0.7016,0.6145,0.6409999999999999,0.5608,1.0
te,nl,0.11,35,19,0.0,10000,5991,1.669170422300117,1.0,0.6679,0.5914,0.6409999999999999,0.518,0.3729
te,ny,0.03,49,5,0.0,237,5991,0.039559339008512766,1.0,0.9176,0.9617,0.6409999999999999,0.5608,0.3058
te,om,0.08,40,14,0.0,265,5991,0.044233016190953094,1.0,0.7016,0.6145,0.6409999999999999,0.5608,1.0
te,pa,0.44,2,52,0.0,7902,5991,1.3189784677015524,1.0,0.5997,0.4417,0.6409999999999999,0.2687,0.077
te,pl,0.13,29,25,0.0,10000,5991,1.669170422300117,1.0,0.6392,0.5603,0.2163,0.5379,0.3266
te,pt,0.1,37,17,0.0,10000,5991,1.669170422300117,1.0,0.7684,0.6102,0.6409999999999999,0.4797,0.4104
te,ro,0.16,15,39,0.0,10000,5991,1.669170422300117,1.0,0.7183,0.5759,0.3217,0.5114,0.2994
te,ru,0.04,48,6,0.0,10000,5991,1.669170422300117,1.0,0.6918,0.6122,0.2163,0.5801,0.2099
te,sn,0.15,21,33,0.0,592,5991,0.09881488900016691,1.0,0.8648,0.6436,0.6409999999999999,0.5311,0.3267
te,so,0.06,45,9,0.0,1246,5991,0.20797863461859456,1.0,0.6854,0.5291,0.3498,0.4681,0.1939
te,es,0.18,9,45,0.0,10000,5991,1.669170422300117,1.0,0.7938,0.654,0.4278,0.5702,0.3988
te,sw,0.12,32,22,0.00016691704223001168,10000,5991,1.669170422300117,1.0,0.7016,0.6145,0.6409999999999999,0.5608,1.0
te,sv,0.08,40,14,0.0,10000,5991,1.669170422300117,1.0,0.7223,0.5917,0.6409999999999999,0.4904,0.342
te,ta,0.33,4,50,0.00016691704223001168,10000,5991,1.669170422300117,0.9091,0.319,0.4451,0.6409999999999999,0.4327,0.033
te,tg,0.16,15,39,0.0,10000,5991,1.669170422300117,1.0,0.6945,0.8619,0.6409999999999999,0.5608,0.1337
te,tl,0.16,15,39,0.0,10000,5991,1.669170422300117,1.0,0.8544,0.6051,0.2952,0.4763,0.2307
te,th,0.07,44,10,0.0,10000,5991,1.669170422300117,1.0,0.9218,0.5964,0.3498,0.4364,0.1183
te,ti,0.02,51,3,0.0,81,5991,0.013520280420630946,1.0,0.6667,0.6244,0.6409999999999999,0.5796,0.2123
te,tk,0.16,15,39,0.00016691704223001168,1152,5991,0.19228843264897347,1.0,0.5533,0.8132,1.0,0.5608,0.1494
te,tr,0.14,25,29,0.0,10000,5991,1.669170422300117,1.0,0.5673,0.5465,0.2952,0.5461,0.2557
te,uk,0.17,12,42,0.0,10000,5991,1.669170422300117,1.0,0.6622,0.6049,0.6409999999999999,0.5157,0.3014
te,ug,0.15,21,33,0.0,1167,5991,0.19479218828242365,1.0,0.4297,0.7788,1.0,0.5608,0.1513
te,uz,0.14,25,29,0.0,10000,5991,1.669170422300117,1.0,0.7016,0.6145,0.6409999999999999,0.5608,1.0
te,vi,0.1,37,17,0.0,10000,5991,1.669170422300117,1.0,0.9159999999999999,0.644,0.4934,0.5367,0.149
te,xh,0.03,49,5,0.0,218,5991,0.03638791520614255,1.0,0.8684,0.6509,0.6409999999999999,0.5319,0.3776
te,yo,0.11,35,19,0.00016691704223001168,7227,5991,1.2063094641962944,1.0,0.9143,0.6241,0.4278,0.4798,0.4093
te,zu,0.13,29,25,0.0,462,5991,0.0771156735102654,1.0,0.8320000000000001,0.644,0.5184,0.5309,0.3457
ti,am,0.63,1,53,0.38271604938271603,2028,81,25.037037037037038,0.5,0.5770000000000001,0.5261,0.5687,0.3973,0.0204
ti,ar,0.24,37,17,0.0,10000,81,123.45679012345678,1.0,0.7016,0.6745,0.0002,0.6284,1.0
ti,az,0.37,10,44,0.012345679012345678,10000,81,123.45679012345678,1.0,0.7016,0.6745,0.0002,0.6284,1.0
ti,bn,0.39,4,50,0.0,10000,81,123.45679012345678,1.0,0.6983,0.6444,0.6162,0.5877,0.2701
ti,ca,0.23,39,15,0.0,10000,81,123.45679012345678,1.0,0.7671,0.6193,0.6162,0.4901,0.2248
ti,ceb,0.28,29,25,0.012345679012345678,10000,81,123.45679012345678,1.0,0.8174,0.6098,0.0002,0.5195,0.4635
ti,ckb,0.33,14,40,0.0,6279,81,77.51851851851852,1.0,0.762,0.8731,0.0002,0.6284,0.1179
ti,de,0.26,33,21,0.0,10000,81,123.45679012345678,1.0,0.6558,0.5949,0.5456,0.4997,0.2208
ti,fa,0.24,37,17,0.0,10000,81,123.45679012345678,1.0,0.7016,0.6745,0.0002,0.6284,1.0
