Source Language,Target Language,dataset size (sent),Source lang word TTR,Source lang subword TTR,Target lang word TTR,Target lang subword TTR,Source lang vocab size,Source lang subword vocab size,Target lang vocab size,Target lang subword vocab size,Source lang Average Sent. Length,Target lang average sent. length,Source lang word Count,Source lang subword Count,Target lang word Count,Target lang subword Count,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC,BLEU
srp,eng,136898,0.11816137300000001,0.002360597186,0.0194062624,0.002187030788,238895,8095,54406,8052,25.04943096,26.89377493,2021718,3429217,2803528,3681704,0.9,0.62,0.8,0.8632,0.5983,0.1,0.3041
tam,eng,6224,0.35623061100000003,0.06475624869,0.08230120561000001,0.03737988408,26526,8047,9994,5940,19.96561697,25.53165167,74463,124266,121432,158909,1.0,0.71,0.6,0.5687,0.5014,0.4,0.0182
kaz,eng,3317,0.40858684,0.1322919776,0.1035328458,0.05474135962999999,14922,7978,6881,4796,18.18088634,26.41302382,36521,60306,66462,87612,1.0,0.9,0.9,0.805,0.5983,0.2,0.0205
mar,eng,9840,0.232224983,0.04219965575,0.06910777650000001,0.026961142210000004,29438,8066,12932,6647,19.42469512,25.05487805,126765,191139,187128,246540,0.9,0.7,0.6,0.5687,0.4513,0.4,0.0368
ukr,eng,108495,0.123539686,0.003034691817,0.021418638959999996,0.0027039864789999996,191477,8153,48458,8038,24.76242223,27.39894004,1549909,2686599,2262422,2972648,0.9,0.51,0.5,0.5687,0.4661,0.1,0.2409
tha,eng,98064,0.777163217,0.004408442346999999,0.022040064590000002,0.002996322001,322609,8098,45139,8035,18.73195056,27.34562123,415111,1836930,2048043,2681621,1.0,0.56,0.5,0.39,0.4147,0.5,0.2034
bel,eng,4509,0.329394659,0.08121971207,0.09285478729,0.045441604979999994,19709,8028,8447,5427,21.92126857,26.48658239,59833,98843,90970,119428,0.9,0.76,0.9,0.5687,0.5983,0.1,0.0285
tur,eng,182470,0.13287653800000002,0.002087047924,0.016582306,0.0016199292509999999,303610,8093,62917,8057,21.25130706,27.257488899999995,2284894,3877726,3794225,4973674,1.0,0.7,0.6,0.3433,0.5183,0.1,0.2252
aze,eng,5946,0.325030665,0.06868600317000001,0.07756799522999999,0.03656770685,23319,8016,9363,5783,19.62748066,26.59687185,71744,116705,120707,158145,1.0,0.57,0.6,0.5687,0.5983,1.0,0.031
deu,eng,168112,0.071988672,0.002010256553,0.01753306781,0.001763909221,194463,8099,60939,8049,23.96508875,27.14357095,2701128,4028819,3475661,4563160,0.4286,0.42,0.4,0.3277,0.4364,0.1,0.3315
bul,eng,174444,0.07766785400000001,0.0019044184450000001,0.01685789725,0.001663510368,216083,8238,62180,8055,24.79724152,27.75773314,2782135,4325730,3688479,4842170,0.8571,0.48,0.5,0.2804,0.521,0.1,0.3578
nob,eng,15825,0.138628019,0.02275095716,0.054171005290000004,0.01727802034,35678,8034,17376,7309,22.31456556,26.73131122,257365,353128,320762,423023,1.0,0.52,0.5,0.4477,0.4769,0.1,0.2963
kat,eng,13193,0.290934495,0.03025959309,0.05714962323,0.02096195561,43726,8064,14721,7035,20.19965133,25.43833851,150295,266494,257587,335608,1.0,0.61,0.6,0.4816,0.5667,0.2,0.0494
dan,eng,44940,0.09555255,0.0077392122320000005,0.03361233799,0.006493522426999999,72060,8071,31118,7939,23.20338229,27.20522919,754138,1042760,925791,1222603,0.7,0.5,0.7,0.5687,0.5983,0.0,0.3773
hye,eng,21360,0.18535943,0.01678607131,0.04756523598,0.013446954890000001,56302,8060,20246,7568,22.47940075,26.34850187,303745,480160,425647,562804,0.9,0.66,0.6,0.5032,0.5064,0.2,0.1397
cmn,eng,199855,0.949983015,0.002285574131,0.01587666584,0.001463255091,481003,9244,66628,8062,20.23716194,27.56815691,506301,4044498,4196599,5509634,1.0,0.55,0.6,0.39,0.5926,0.4,0.17
ind,eng,87406,0.058781365999999995,0.004630614828,0.0243017017,0.0034597659360000002,75857,8073,43024,8023,19.94596481,26.53070727,1290483,1743397,1770411,2318943,1.0,0.52,0.5,0.2736,0.4546,0.6,0.2727
glg,eng,10017,0.18636588199999998,0.03808384143,0.06750335762,0.026029263619999996,27915,8020,13269,6744,21.0230608,25.86532894,149786,210588,196568,259093,0.9,0.67,0.6,0.5687,0.4997,0.1,0.1684
por,eng,184755,0.053816811,0.001888288137,0.016727051149999998,0.001607607346,165417,8099,63906,8058,23.21490623,27.13008038,3073698,4289070,3820518,5012418,0.9,0.47,0.5,0.5687,0.4235,0.1,0.4167
urd,eng,5977,0.102668429,0.03927315722,0.08191973521000001,0.03691275168,12970,6311,10098,5984,26.88556132,27.12263677,126323,160695,123267,162112,0.9,0.67,0.6,0.5687,0.4923,0.3,0.0338
ita,eng,204503,0.0579409,0.001660548963,0.01567302418,0.001428177194,195076,8105,67408,8063,23.8670044,27.606724600000003,3366786,4880874,4300893,5645658,0.9,0.51,0.5,0.5687,0.5064,0.1,0.3567
spa,eng,196036,0.05430281,0.001775959743,0.0161075948,0.001503483695,179358,8137,65806,8061,23.37190618,27.349813300000005,3302917,4581735,4085402,5361548,0.9,0.4,0.5,0.3433,0.5481,0.1,0.3948
ell,eng,134327,0.078029843,0.002399943072,0.01961760754,0.0022236968899999997,170524,8128,54088,8049,25.21266015,26.9465409,2185368,3386741,2757115,3619648,0.8333,0.52,0.5,0.195,0.5516,0.1,0.3494
ben,eng,4649,0.235456805,0.07491650029000001,0.09248403007999999,0.04338872915,17623,8030,9150,5689,23.05571091,28.20326952,74846,107186,98936,131117,0.875,0.7,0.6,0.4054,0.4982,0.4,0.0279
jpn,eng,204091,0.850287142,0.0021456367610000002,0.01561683622,0.001433778542,583507,8855,66953,8065,20.22126404,27.56122024,686194,4126978,4287232,5624997,1.0,0.66,0.6,0.5032,0.5472,0.5,0.1142
msa,eng,5220,0.16941192100000002,0.06458125874,0.08811603855,0.04216266146000002,12733,7069,8997,5660,20.96915709,25.71685824,75160,109459,102104,134242,1.0,0.57,0.6,0.5687,0.5983,1.0,0.0368
nld,eng,183767,0.058215455,0.00197380909,0.01677219125,0.001623608562,172102,8090,63391,8057,22.30348757,27.00377652,2956288,4098645,3779530,4962403,0.6,0.49,0.5,0.5687,0.4861,0.0,0.3427
hrv,eng,122091,0.10575350800000001,0.002810719517,0.02034167726,0.002407318536,190527,8088,51725,8041,23.56749474,27.35853585,1801614,2877379,2542809,3340231,0.9,0.79,0.6,0.5687,0.5093,0.1,0.3184
heb,eng,211820,0.097473349,0.0018044173420000002,0.015262235830000003,0.001374402511,275814,8296,68256,8066,21.70524974,27.70622226,2829612,4597606,4472215,5868732,1.0,0.52,0.6,0.5687,0.5549,0.2,0.3389
mon,eng,7607,0.230678778,0.05742320024,0.07778258618,0.033970449130000004,21383,8006,10964,6249,18.32798738,24.1822006,92696,139421,140957,183954,1.0,0.57,0.6,0.5687,0.5983,1.0,0.0296
hin,eng,18798,0.090392129,0.01774261988,0.05069826108,0.015183691019999999,31394,8070,19012,7486,24.19603149,26.22773699,347180,454837,375003,493029,0.9,0.59,0.5,0.3433,0.4684,0.4,0.1425
