Target lang, Source lang,Transfer lang,BLEU,Rank,BLEU level,Overlap word-level,Overlap subword-level,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC,GENETIC_2,SYNTACTIC_2,FEATURAL_2,PHONOLOGICAL_2,INVENTORY_2,GEOGRAPHIC_2
eng,eus,fas,0.1118,1,53,0.0012710802391779155,0.013680981595092023,150965.0,5182.0,29.13257429563875,0.04914039052639592,0.3089201877934272,0.7071607809094114,1.0,0.53,0.6,0.6409999999999999,0.669,1.0,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,kur,0.0357,48,6,0.0008993568749893943,0.007829977628635347,10440.0,5182.0,2.0146661520648403,0.22891671826263715,0.3089201877934272,0.06706949908281577,1.0,0.71,0.8,0.6409999999999999,0.669,0.2,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,hun,0.0946,23,31,0.0021480456482814094,0.03321537219842305,147220.0,5182.0,28.409880355075263,0.15307856490195398,0.3089201877934272,0.2544921226155425,1.0,0.55,0.5,0.2952,0.568,0.1,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,slv,0.0475,40,14,0.005900850188283706,0.029424599463873824,19831.0,5182.0,3.826900810497877,0.2060847233614264,0.3089201877934272,0.11081364674786437,1.0,0.61,0.6,0.6409999999999999,0.5354,0.1,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,ron,0.0983,13,41,0.004262335884512476,0.04186046511627907,180543.0,5182.0,34.84040910845233,0.06944401213123495,0.3089201877934272,0.6009412938314559,1.0,0.63,0.6,0.3217,0.5136,0.1,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,rus,0.1008,8,46,0.0009854247309404043,0.013819483003269788,208458.0,5182.0,40.22732535700501,0.0964285880092507,0.3089201877934272,0.4731414015853352,1.0,0.57,0.5,0.2163,0.5499,0.3,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,srp,0.0906,31,23,0.00254025943897771,0.029809961495466407,136898.0,5182.0,26.417985333847927,0.11816137254058205,0.3089201877934272,0.3813086458447542,1.0,0.62,0.7,0.8391,0.669,0.1,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,tam,0.0335,52,2,0.0018588164094583493,0.011274448735517629,6224.0,5182.0,1.2010806638363567,0.3562306111760203,0.3089201877934272,0.02345422509309909,1.0,0.64,0.6,0.6409999999999999,0.5439,0.4,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,kaz,0.0332,53,1,0.0022503029253938037,0.011698467313106036,3317.0,5182.0,0.6401003473562331,0.4085868404479615,0.3089201877934272,0.1040895580880934,1.0,0.8,0.9,1.0,0.669,0.3,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,mar,0.0394,44,10,0.0009353776078734392,0.008150314191501275,9840.0,5182.0,1.8988807410266304,0.23222498323669785,0.3089201877934272,0.06163733314184853,1.0,0.65,0.6,0.6409999999999999,0.5519,0.4,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,ukr,0.1009,6,48,0.001178882381626479,0.01349009900990099,108495.0,5182.0,20.936896950984174,0.1235396855198613,0.3089201877934272,0.3601102877938909,1.0,0.65,0.6,0.6409999999999999,0.5715,0.1,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,tha,0.0943,25,29,0.0007390119439519323,0.016454517230673704,98064.0,5182.0,18.92396758008491,0.7771632165854434,0.3089201877934272,2.297471116906945,1.0,0.63,0.6,0.3498,0.5792,0.5,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,bel,0.0351,50,4,0.0020025856168724176,0.011225444340505144,4509.0,5182.0,0.8701273639521421,0.32939465855533645,0.3089201877934272,0.004392712591061168,1.0,0.72,0.8,0.6409999999999999,0.669,0.1,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,tur,0.0998,10,44,0.002712231328282047,0.038757763975155284,182470.0,5182.0,35.21227325357005,0.13287653786615888,0.3089201877934272,0.3247492435611209,1.0,0.62,0.6,0.2952,0.5245,0.1,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,aze,0.0337,51,3,0.00538795606028937,0.0290207826249766,5946.0,5182.0,1.1474334233886532,0.3250306645851918,0.3089201877934272,0.0027197200747074435,1.0,0.53,0.6,0.6409999999999999,0.669,1.0,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,deu,0.0905,32,22,0.0034686722408182893,0.035576803675648826,168112.0,5182.0,32.441528367425704,0.07198867212083071,0.3089201877934272,0.5882380116503917,1.0,0.59,0.6,0.3918,0.6038,0.1,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,bul,0.1007,9,45,0.0010685980587135267,0.01268082486919052,174444.0,5182.0,33.663450405248945,0.07766785448046865,0.3089201877934272,0.5603761801430321,1.0,0.61,0.6,0.2163,0.5929,0.1,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,nob,0.094,26,28,0.007344184200079397,0.03603266629262515,15825.0,5182.0,3.053840216132768,0.138628018572844,0.3089201877934272,0.30387626164129955,1.0,0.67,0.6,0.2952,0.5952,0.1,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,kat,0.0552,39,15,0.001717455015283774,0.011449194200734241,13193.0,5182.0,2.545928213045156,0.2909344954921987,0.3089201877934272,0.003389703705624209,1.0,0.54,0.5,0.4638,0.535,0.2,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,dan,0.0998,10,44,0.0067973856209150325,0.03831322303769125,44940.0,5182.0,8.672327286761869,0.09555254992441722,0.3089201877934272,0.4770506788974098,1.0,0.7,0.8,0.6409999999999999,0.669,0.1,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,hye,0.0465,42,12,0.001867389074458852,0.01350594386008589,21360.0,5182.0,4.121960632960247,0.18535942978485245,0.3089201877934272,0.15998105169569835,1.0,0.61,0.5,0.5,0.4815,0.2,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,cmn,0.0912,30,24,0.00044334119498425344,0.012115239696249492,199855.0,5182.0,38.567155538402154,0.9499830149626328,0.3089201877934272,4.306342903421398,1.0,0.58,0.6,0.4638,0.5574,0.4,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,ind,0.1058,3,51,0.007761749845706455,0.04172885572139304,87406.0,5182.0,16.867232728676186,0.058781365895540776,0.3089201877934272,0.6556463077004476,1.0,0.62,0.5,0.3498,0.5132,0.6,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,glg,0.0839,34,20,0.00912810827824992,0.0381855618643539,10017.0,5182.0,1.9330374372829024,0.18636588199164145,0.3089201877934272,0.1573854456789316,1.0,0.77,0.7,0.6409999999999999,0.535,0.0,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,por,0.0961,19,35,0.005130780904853719,0.04277908853843288,184755.0,5182.0,35.65322269394056,0.05381681065684573,0.3089201877934272,0.6819300610856276,1.0,0.58,0.6,0.6409999999999999,0.5462,0.0,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,urd,0.0363,47,7,0.002476306939773769,0.01815896074870792,5977.0,5182.0,1.1534156696256272,0.10266842926010657,0.3089201877934272,0.4457616885349172,1.0,0.6,0.6,0.6409999999999999,0.5996,0.3,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,ita,0.0924,29,25,0.004520147475048413,0.0407149950347567,204503.0,5182.0,39.464106522578156,0.05794089954586092,0.3089201877934272,0.6600596523893831,1.0,0.61,0.6,0.6409999999999999,0.55,0.1,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
eng,eus,spa,0.0951,22,32,0.005263739464987092,0.04490832507433102,196036.0,5182.0,37.83018139714396,0.05430280996559714,0.3089201877934272,0.6793342362162484,1.0,0.55,0.5,0.4278,0.5118,0.0,1.0,0.6066,0.5956,0.3498,0.6205,0.054000000000000006
