L1 (transfer language),L1 iso code,L2 (test language),L2 iso code,# L1 examples,# L2 examples,# L2 hallucinated examples,similar script,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC,BEST SCORE (Accuracy) from SIGMORPHON
welsh,cym,old-irish,sga,10000,100,10000,0.7037037037,0.3750,0.6300,0.8000,0.0002,0.0000,1.0000,98
welsh,cym,scottish-gaelic,gla,10000,100,10000,0.6129032258,0.3750,0.4200,0.4000,0.0002,0.0000,0.0000,67
danish,dan,yiddish,yid,10000,100,10000,0.02777777778,1.0000,0.6700,0.7000,0.0002,0.0000,0.3000,40.3
dutch,nld,yiddish,yid,10000,100,10000,0.02777777778,1.0000,0.4700,0.7000,0.0002,0.6068,0.3000,70
estonian,est,karelian,krl,10000,100,10000,0.88,0.3333,0.6600,0.8000,0.0002,0.0000,0.0000,67
finnish,fin,karelian,krl,10000,100,10000,0.92,0.5000,0.5700,0.6000,0.5687,0.6506,0.0000,84
german,deu,middle-high-german,gmh,10000,100,10000,0.8888888889,0.4286,0.5800,0.6000,0.5456,0.6153,1.0000,90
german,deu,middle-low-german,deu,10000,100,10000,0.7142857143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,72
german,deu,yiddish,yid,10000,100,10000,0.02777777778,1.0000,0.5400,0.7000,0.5456,0.6153,0.3000,80
greek,ell,bengali,ben,10000,100,10000,0.02173913043,0.8750,0.7300,0.6000,0.3613,0.5893,0.3000,86
hungarian,hun,karelian,krl,10000,100,10000,0.88,0.5000,0.5500,0.6000,0.5922,0.6461,0.1000,46
persian,fas,azeri,aze,10000,100,10000,0.0303030303,1.0000,0.0000,0.0000,0.0002,0.0000,1.0000,14
persian,fas,pashto,pus,10000,100,10000,0.6052631579,1.0000,0.0000,0.0000,0.0002,0.0000,1.0000,64
zulu,zul,swahili,swa,10000,100,10000,1,1.0000,0.5900,0.6000,0.5228,0.6643,1.0000,81
