Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
ru,no,52.52,18,12,0.179768003,34170,6491,5.264211985826529,0.106159434,0.247722217,0.32656397040743196,0.8333,0.6169,0.7463,0.6162,0.688,0.1847
ru,es,55.98,12,18,0.197905036,31546,6491,4.859959944538592,0.07918718599999999,0.247722217,0.462860856161397,0.9231,0.4508,0.4754,0.3613,0.5273,0.2742
ru,ko,18.65,29,1,0.143962703,30426,6491,4.6874133415498385,0.294432976,0.247722217,0.035555266005880486,1.0,0.557,0.5941,0.5,0.6511,0.2272
ru,et,53.59,16,14,0.18499262800000002,23460,6491,3.6142350947465722,0.221928097,0.247722217,0.010842052744240665,1.0,0.5416,0.7014,0.6162,0.688,0.1505
ru,pl,61.85,7,23,0.13338560800000002,22646,6491,3.4888306886458174,0.223329008,0.247722217,0.009696342722155785,0.5,0.4683,0.4558,0.0,0.4949,0.1763
ru,nl,56.05,11,19,0.18130215,19452,6491,2.996764751193961,0.133302703,0.247722217,0.21333901290551074,0.9,0.5707,0.5855,0.6162,0.5297,0.2171
ru,pt,54.02,15,15,0.19548449199999998,19763,6491,3.044677245416731,0.09546069800000001,0.247722217,0.37778994951390066,0.9333,0.4995,0.5246,0.6162,0.47,0.2778
ru,la,39.6,25,5,6.82e-05,17140,6491,2.640579263595748,0.158874645,0.247722217,0.12863561046570332,0.8333,0.6649,0.7761,0.6162,0.688,0.2255
ru,fr,55.53,13,17,0.167511868,16032,6491,2.4698813742104453,0.118520741,0.247722217,0.27202262923304205,0.9375,0.5052,0.49700000000000005,0.3333,0.5152,0.2382
ru,de,56.17,10,20,0.18879390399999998,14613,6491,2.2512709906023725,0.187631727,0.247722217,0.05884120725875476,0.8571,0.4204,0.4636,0.3333,0.5184,0.2039
ru,hi,28.19,28,2,0.051001884000000004,14963,6491,2.305191804036358,0.060393443,0.247722217,0.5718459708485517,0.875,0.4967,0.5415,0.2048,0.6015,0.1618
ru,ca,53.02,17,13,0.18093566,14832,6491,2.285010013865352,0.07401331900000001,0.247722217,0.49171585740266965,0.9091,0.5836,0.4988,0.0,0.4706,0.2546
ru,it,56.68,9,21,0.183390296,13685,6491,2.1083038052688337,0.102554534,0.247722217,0.34340765677699897,0.9,0.5569,0.5484,0.6162,0.4693,0.221
ru,en,51.88,20,10,0.161187771,14545,6491,2.240794946849484,0.09615563199999999,0.247722217,0.37434929086817686,0.9,0.4902,0.5097,0.2804,0.5594,0.2316
ru,fi,48.6,22,8,0.15967067,13581,6491,2.0922816207055925,0.302519355,0.247722217,0.04893119659807089,1.0,0.3753,0.4323,0.2804,0.5099,0.1415
ru,bg,61.89,6,24,0.294326211,10022,6491,1.5439839778154367,0.201446082,0.247722217,0.0348966905674341,0.5714,0.4576,0.3837,0.0,0.345,0.1796
ru,sl,63.98,4,26,0.130658235,9290,6491,1.43121244800493,0.237767323,0.247722217,0.0016148915565436619,0.5,0.4538,0.4845,0.6162,0.4254,0.2038
ru,sk,62.46,5,25,0.096139914,9543,6491,1.4701894931443538,0.261917468,0.247722217,0.0032836452821139186,0.5,0.5654,0.6364,0.6162,0.688,0.1843
ru,ro,59.13,8,22,0.15915928699999998,8795,6491,1.354953011862579,0.167303215,0.247722217,0.10538709715919017,0.8889,0.4839,0.4394,0.2163,0.4279,0.1729
ru,hr,65.32,3,27,0.156491575,7832,6491,1.2065937451856417,0.216688845,0.247722217,0.0156937965623282,0.625,0.7925,0.6252,0.6162,0.4214,0.2005
ru,ar,36.46,26,4,0.101398631,6984,6491,1.0759513172084425,0.10339868099999999,0.247722217,0.3394254522639913,1.0,0.5654,0.6364,0.6162,0.688,1.0
ru,lv,54.69,14,16,0.11685090599999999,6475,6491,0.9975350485287321,0.268650981,0.247722217,0.007137682823327293,0.5,0.5206,0.6197,0.2048,0.688,0.1495
ru,he,39.76,24,6,0.13763008300000001,5725,6491,0.8819904483130488,0.117344567,0.247722217,0.2769978393220895,1.0,0.429,0.5525,0.6162,0.6156,0.195
ru,uk,69.6,1,29,0.18513751899999997,5090,6491,0.7841626867971037,0.31926283,0.247722217,0.08340179505177225,0.3333,0.3695,0.4288,0.6162,0.385,0.1673
ru,id,48.09,23,7,0.123422172,5036,6491,0.7758434755815745,0.197096308,0.247722217,0.04176531412057779,1.0,0.6099,0.5319,0.2804,0.503,0.3823
ru,da,52.3,19,11,0.09860307300000001,4947,6491,0.7621321830226467,0.203165045,0.247722217,0.03235231194179806,0.8571,0.5836,0.7261,0.6162,0.688,0.1969
ru,sv,51.71,21,9,0.06427226,4807,6491,0.7405638576490525,0.193727962,0.247722217,0.04750782962715444,0.8571,0.5616,0.6058,0.6162,0.578,0.1651
ru,zh,34.69,27,3,0.10624824199999999,4497,6491,0.6928054228932368,0.178585916,0.247722217,0.07789011828266745,1.0,0.5654,0.6364,0.6162,0.688,1.0
no,cs,61.16,16,14,0.178684302,114304,3450,33.13159420289855,0.091965586,0.206890882,0.3085663475402295,0.8571,0.5122,0.7061,0.0002,0.6784,0.0585
no,ru,62.73,14,16,0.116973273,55398,3450,16.057391304347828,0.123916395,0.206890882,0.1608445869959945,0.8,0.6169,0.7463,0.6162,0.688,0.1847
no,es,63.41,10,20,0.16538482599999998,31546,3450,9.143768115942029,0.07918718599999999,0.206890882,0.380999347119402,0.9231,0.6506,0.7684,0.5922,0.6832,0.1153
no,ko,16.34,29,1,0.10378340900000001,30426,3450,8.81913043478261,0.294432976,0.206890882,0.17904044939019217,1.0,0.7274,0.8185,0.6409999999999999,0.6737,0.3892
no,et,54.56,21,9,0.138073403,23460,3450,6.8,0.221928097,0.206890882,0.0052826533907944576,1.0,0.6257,0.6257,0.0002,0.0,0.0359
no,pl,58.08,20,10,0.146769214,22646,3450,6.564057971014493,0.223329008,0.206890882,0.006312798220550332,0.8333,0.617,0.7655,0.6162,0.6597,0.0526
no,nl,65.6,6,24,0.200898811,19452,3450,5.638260869565217,0.133302703,0.206890882,0.12651249189671973,0.7,0.4658,0.7082,0.0002,0.6068,0.047
no,pt,63.03,12,18,0.152596869,19763,3450,5.728405797101449,0.09546069800000001,0.206890882,0.29008347757223935,0.9333,0.5702,0.7396,0.0002,0.6328,0.1109
no,la,43.69,24,6,0.024790369,17140,3450,4.9681159420289855,0.158874645,0.206890882,0.0538633724049505,0.8333,0.47,0.47,0.0002,0.0,0.1009
no,fr,65.42,7,23,0.153546831,16032,3450,4.64695652173913,0.118520741,0.206890882,0.18244349940808585,0.9375,0.6111,0.7746,0.5456,0.6025,0.0715
no,de,66.53,4,26,0.177222821,14613,3450,4.235652173913043,0.187631727,0.206890882,0.008665462650922995,0.5714,0.5422,0.7375,0.5456,0.6153,0.0636
no,hi,29.05,28,2,0.068817479,14963,3450,4.337101449275362,0.060393443,0.206890882,0.501391957130235,0.875,0.6639,0.8172,0.5922,0.5363,0.3173
no,ca,60.37,17,13,0.18021885699999998,14832,3450,4.299130434782609,0.07401331900000001,0.206890882,0.4124968218676225,0.9091,0.4082,0.7002,0.6162,0.6461,0.1031
no,it,65.94,5,25,0.173459508,13685,3450,3.966666666666667,0.102554534,0.206890882,0.25432471159199804,0.9,0.5779,0.7243,0.0002,0.6737,0.0946
