languages,ISO CODE,ISO 2 CODE,S_SVO,S_SOV,S_VSO,S_SUBJECT_BEFORE_VERB,S_SUBJECT_AFTER_VERB,S_OBJECT_BEFORE_VERB,S_OBJECT_AFTER_VERB,S_POSSESSOR_BEFORE_NOUN,S_POSSESSOR_AFTER_NOUN,S_ADJECTIVE_BEFORE_NOUN,S_ADJECTIVE_AFTER_NOUN,S_NUMERAL_BEFORE_NOUN,S_NUMERAL_AFTER_NOUN,S_OBLIQUE_AFTER_VERB,S_OBLIQUE_AFTER_OBJECT,S_OBLIQUE_BEFORE_VERB,S_OBLIQUE_BEFORE_OBJECT,
Polish,pol,pl,1,0,0,1,1,0,1,0,1,1,0,1,0,--,--,--,--,
Portuguese,por,pt,1,0,0,1,0,0,1,0,1,0,1,--,--,--,--,--,--,
Romanian,ron,ro,1,0,0,1,0,0,1,0,1,0,1,1,0,--,--,--,--,
Russian,rus,ru,1,0,0,1,0,0,1,0,1,1,0,1,0,--,--,--,--,
Sanskrit,san,sa,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
Scottish_Gaelic,gla,gd,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,
Serbian,srp,sr,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
Skolt_Sami,sms,sms,1,0,0,1,0,0,1,1,0,1,0,--,--,--,--,--,--,from North Sami
Slovak,slk,sk,1,0,0,1,0,0,1,1,1,1,0,1,0,--,--,--,--,from Czech
Slovenian,slv,sl,1,0,0,1,0,0,1,1,1,1,0,1,0,--,--,--,--,
Spanish,spa,es,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,
Swedish,swe,sv,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,
Swiss_German,gsw,gsw,1,1,0,1,0,1,1,0,1,1,0,1,0,--,--,--,--,from German
Tagalog,tgl,tl,0,0,1,0,1,0,1,0,1,1,1,1,0,--,--,--,--,
Tamil,tam,ta,0,1,0,1,0,1,0,1,0,1,0,1,0,--,--,--,--,
Telugu,tel,te,0,1,0,1,0,1,0,1,0,1,0,1,0,--,--,--,--,
