language,language code,data size,sentence length,OHIOSTATE-01-2,NLPCUBE-01-2,ITU-01-2,CHARLES-SAARLAND-01-2,CHARLES-SAARLAND-02-2,CARNEGIEMELLON-02-2,CBNU-01-2,UFALPRAGUE-01-2,EDINBURGH-01-2,RUG-02-2,CMU-01-2-DataAug
UD_Swedish-PUD,swe,800,18.70,93.45,92.71,93.82,95.85,95.85,90.82,91.65,96.63,92.39,92.39,91.83
UD_Swedish-Talbanken,swe,4820,16.03,97.39,97.75,97.89,98.62,98.62,96.71,96.56,98.57,97.9,94.5,89.12
UD_Tagalog-TRG,tgl,44,5.23,72.97,75.68,91.89,91.89,91.89,86.49,83.78,91.89,67.57,86.49,81.08
UD_Tamil-TTB,tam,480,15.90,94.31,74.89,94.53,91.52,91.52,91.74,91.52,96.43,93.53,87.72,94.64
UD_Turkish-IMST,tur,4508,10.30,96.41,94.28,96.36,94.77,94.77,94.26,96.34,96.84,96.74,94.96,96.15
UD_Turkish-PUD,tur,800,16.73,85.79,75.77,87.19,86.52,86.52,83.06,85.13,89.03,86.91,85.68,82.51
UD_Ukrainian-IU,ukr,5440,17.17,95.96,95.61,96.46,97.84,97.84,94.66,95.42,97.85,96.67,92.84,95.7
UD_Upper_Sorbian-UFAL,hsb,516,17.36,91.78,89.26,91.97,93.74,93.74,88.89,90.66,93.46,91.97,86.93,90.76
UD_Urdu-UDTB,urd,4104,26.97,96.35,93.64,96.43,96.92,96.92,96.48,94.25,96.98,96.09,95.26,96.33
UD_Vietnamese-VTB,vie,2400,14.68,99.79,93.88,99.93,99.75,99.75,100,99.93,99.89,80.01,98.95,99.79
UD_Yoruba-YTB,yor,80,26.98,98.84,96.12,98.84,98.45,98.45,97.67,98.84,97.67,98.45,98.06,98.84
